# Recording: baseline
# Run: 2 of 10
# Exported: 2026-06-06T16:40:15.236Z
# Duration: 60.0 s
# World Seed: 12345
# View Distance: 3
# Terrain Quality: 32 segments
# Texture Reuse Rate: 3
# Terrain Algorithm: none
# Terrain Shader Seed: N/A
# Camera Height: 50
# Camera Distance: 60
# Camera Azimuth: 0.0000 rad
# Camera Polar: 1.0472 rad
#
# --- Summary (avg / min / max) ---
# FPS: 60.9 / 50 / 65
# Render ms: 80.149 / 49.600 / 133.700
# TextureGen ms: 0.000 / 0.000 / 0.000
# ChunkGen ms: 0.046 / 0.000 / 0.100
# Total Textures Generated: 0
# Total Chunks Generated: 13
#
# Object Slots:
#   tree/0: algorithm=none seed=N/A
#   tree/1: algorithm=none seed=N/A
#   pine/0: algorithm=none seed=N/A
#   pine/1: algorithm=none seed=N/A
#   rock/0: algorithm=none seed=N/A
#   rock/1: algorithm=none seed=N/A
#   cactus/0: algorithm=none seed=N/A
#   cactus/1: algorithm=none seed=N/A
#   bush/0: algorithm=none seed=N/A
#   bush/1: algorithm=none seed=N/A
#
Sample,FPS,FPS_Timestamp_ms,TextureGen_ms,TextureGen_Timestamp_ms,ChunkGen_ms,ChunkGen_Timestamp_ms,Render_ms,Render_Timestamp_ms
0,50.0,441,,,0.000,413,133.700,522
1,63.0,951,,,0.100,2767,74.300,1436
2,58.0,1466,,,0.000,4089,71.300,2767
3,63.0,1969,,,0.100,5420,71.400,4089
4,60.0,2469,,,0.000,6760,71.700,5420
5,61.0,2986,,,0.100,10765,77.000,6760
6,60.0,3486,,,0.000,12099,81.600,8102
7,62.0,4489,,,0.100,16100,81.000,9432
8,60.0,4988,,,0.000,17439,79.100,10765
9,61.0,5489,,,0.100,32111,77.500,12099
10,60.0,5989,,,0.000,33446,75.800,13431
11,62.0,6991,,,0.100,42810,80.600,14772
12,61.0,7495,,,0.000,44125,76.500,16100
13,60.0,8007,,,,,79.600,17439
14,59.0,8509,,,,,77.400,18770
15,61.0,9008,,,,,77.200,20104
16,60.0,9510,,,,,75.100,21436
17,62.0,11028,,,,,77.100,22773
18,60.0,11529,,,,,80.200,24094
19,62.0,12529,,,,,74.500,25423
20,60.0,13029,,,,,76.300,26759
21,62.0,13530,,,,,74.500,28092
22,60.0,14030,,,,,49.900,29459
23,62.0,15530,,,,,79.900,30802
24,64.0,16534,,,,,73.900,32111
25,62.0,17033,,,,,75.000,33446
26,61.0,17535,,,,,89.900,34796
27,62.0,18051,,,,,77.800,36119
28,61.0,18551,,,,,78.800,37455
29,62.0,19052,,,,,76.300,38788
30,61.0,19568,,,,,79.900,40125
31,59.0,20104,,,,,77.500,41456
32,63.0,20602,,,,,90.500,42810
33,60.0,21103,,,,,77.100,44125
34,62.0,21604,,,,,74.800,45457
35,61.0,22105,,,,,92.700,46814
36,62.0,23104,,,,,78.400,48129
37,60.0,23604,,,,,127.200,49514
38,58.0,24112,,,,,92.800,50818
39,61.0,24623,,,,,78.800,52116
40,60.0,25139,,,,,75.400,53447
41,61.0,25640,,,,,94.200,54800
42,60.0,26140,,,,,79.400,56119
43,62.0,27141,,,,,49.600,57477
44,60.0,27641,,,,,93.500,58807
45,61.0,28144,,,,,,
46,60.0,28660,,,,,,
47,61.0,29660,,,,,,
48,60.0,30159,,,,,,
49,62.0,32162,,,,,,
50,60.0,32664,,,,,,
51,62.0,33663,,,,,,
52,60.0,34164,,,,,,
53,61.0,35164,,,,,,
54,62.0,35664,,,,,,
55,63.0,36175,,,,,,
56,64.0,36682,,,,,,
57,62.0,37182,,,,,,
58,61.0,37700,,,,,,
59,62.0,39201,,,,,,
60,60.0,39701,,,,,,
61,59.0,40203,,,,,,
62,61.0,40703,,,,,,
63,62.0,41703,,,,,,
64,60.0,42204,,,,,,
65,58.0,43205,,,,,,
66,61.0,43705,,,,,,
67,63.0,44205,,,,,,
68,60.0,44706,,,,,,
69,62.0,45706,,,,,,
70,61.0,46207,,,,,,
71,60.0,46706,,,,,,
72,59.0,47208,,,,,,
73,61.0,47707,,,,,,
74,63.0,48210,,,,,,
75,61.0,48709,,,,,,
76,58.0,49712,,,,,,
77,61.0,50211,,,,,,
78,59.0,51211,,,,,,
79,61.0,51711,,,,,,
80,63.0,52213,,,,,,
81,61.0,52713,,,,,,
82,62.0,53714,,,,,,
83,61.0,54216,,,,,,
84,60.0,54714,,,,,,
85,62.0,55234,,,,,,
86,61.0,55731,,,,,,
87,63.0,56244,,,,,,
88,65.0,56750,,,,,,
89,62.0,57250,,,,,,
90,61.0,57750,,,,,,
91,59.0,58807,,,,,,
92,61.0,59302,,,,,,
