# Recording: 50-reuse
# Run: 6 of 10
# Exported: 2026-06-07T01:08:39.628Z
# Duration: 60.0 s
# World Seed: 12345
# View Distance: 3
# Terrain Quality: 24 segments
# Texture Reuse Rate: 50
# Terrain Algorithm: none
# Terrain Shader Seed: N/A
# Camera Height: 50
# Camera Distance: 60
# Camera Azimuth: 0.0000 rad
# Camera Polar: 1.0472 rad
#
# --- Summary (avg / min / max) ---
# FPS: 95.7 / 55 / 116
# Render ms: 398.057 / 12.300 / 629.100
# TextureGen ms: 8.975 / 1.100 / 14.700
# ChunkGen ms: 0.047 / 0.000 / 0.100
# Total Textures Generated: 44
# Total Chunks Generated: 15
#
# Object Slots:
#   tree/0: algorithm=wood seed=N/A
#   tree/1: algorithm=none seed=N/A
#   pine/0: algorithm=wood seed=N/A
#   pine/1: algorithm=none seed=N/A
#   rock/0: algorithm=perlin seed=N/A
#   rock/1: algorithm=none seed=N/A
#   cactus/0: algorithm=none seed=N/A
#   cactus/1: algorithm=none seed=N/A
#   bush/0: algorithm=simplex seed=N/A
#   bush/1: algorithm=none seed=N/A
#
Sample,FPS,FPS_Timestamp_ms,TextureGen_ms,TextureGen_Timestamp_ms,ChunkGen_ms,ChunkGen_Timestamp_ms,Render_ms,Render_Timestamp_ms
0,101.0,3103,14.000,3103,0.000,3103,12.300,4090
1,58.0,4090,1.900,4090,0.100,7205,380.400,5714
2,55.0,4591,14.000,4579,0.000,8305,515.700,7205
3,100.0,5097,14.200,5714,0.100,13807,295.900,8305
4,101.0,5714,1.100,7205,0.000,16462,23.800,9843
5,97.0,6215,1.900,8305,0.100,20560,532.300,11225
6,93.0,7205,1.200,9843,0.000,21772,539.900,12579
7,98.0,7714,14.200,11225,0.100,26035,434.400,13807
8,93.0,8305,13.800,12579,0.000,27158,492.900,15202
9,88.0,9312,1.400,13807,0.100,29826,419.800,16462
10,90.0,9843,14.400,15202,0.000,31214,578.100,17967
11,99.0,10344,1.900,16462,0.100,48589,424.300,19151
12,95.0,11225,14.200,17967,0.000,50045,502.100,20560
13,97.0,11732,14.300,19151,0.100,55330,380.600,21772
14,89.0,12579,14.200,20560,0.000,56629,456.600,23179
15,104.0,13081,1.300,21772,,,421.100,24493
16,96.0,13807,1.200,23179,,,626.600,26035
17,99.0,14312,1.300,24493,,,23.000,27158
18,95.0,15202,14.200,26035,,,490.400,28580
19,100.0,15698,1.900,27158,,,397.600,29826
20,93.0,16462,13.900,28580,,,451.600,31214
21,91.0,17967,14.700,29826,,,422.300,32518
22,98.0,18469,1.900,31214,,,629.100,34057
23,90.0,19151,1.200,32518,,,410.500,35172
24,99.0,19648,14.100,34057,,,516.400,36625
25,90.0,20560,14.300,35172,,,23.100,37837
26,96.0,21060,14.100,36625,,,419.100,39195
27,93.0,21772,1.900,37837,,,22.800,40544
28,105.0,22269,14.100,39195,,,547.200,42004
29,91.0,23179,1.100,40544,,,498.600,43288
30,99.0,23678,14.100,42004,,,22.900,44566
31,102.0,24493,14.300,43288,,,470.100,45944
32,95.0,24994,14.100,44566,,,520.500,47329
33,97.0,26035,1.200,45944,,,445.600,48589
34,101.0,26529,14.000,47329,,,571.700,50045
35,85.0,27158,13.900,48589,,,422.800,51245
36,101.0,27665,14.100,50045,,,23.300,52638
37,99.0,28580,14.400,51245,,,430.800,53921
38,101.0,29078,1.300,52638,,,492.300,55330
39,98.0,29826,1.300,53921,,,453.900,56629
40,102.0,30333,14.500,55330,,,485.700,57989
41,97.0,31214,1.300,56629,,,490.300,59327
42,94.0,31714,14.300,57989,,,,
43,92.0,32518,14.200,59327,,,,
44,103.0,33018,,,,,,
45,92.0,34057,,,,,,
46,100.0,34561,,,,,,
47,93.0,35172,,,,,,
48,98.0,35676,,,,,,
49,93.0,36625,,,,,,
50,95.0,37128,,,,,,
51,96.0,37837,,,,,,
52,100.0,38345,,,,,,
53,97.0,39195,,,,,,
54,101.0,39693,,,,,,
55,95.0,40544,,,,,,
56,103.0,41042,,,,,,
57,90.0,42004,,,,,,
58,95.0,42501,,,,,,
59,101.0,43786,,,,,,
60,97.0,44566,,,,,,
61,101.0,45077,,,,,,
62,95.0,45944,,,,,,
63,94.0,46443,,,,,,
64,96.0,48589,,,,,,
65,93.0,49094,,,,,,
66,100.0,50045,,,,,,
67,97.0,50542,,,,,,
68,96.0,51245,,,,,,
69,102.0,51742,,,,,,
70,97.0,52638,,,,,,
71,103.0,53143,,,,,,
72,95.0,53921,,,,,,
73,93.0,54433,,,,,,
74,90.0,55330,,,,,,
75,97.0,55827,,,,,,
76,94.0,56629,,,,,,
77,116.0,57127,,,,,,
78,96.0,58494,,,,,,
79,92.0,59327,,,,,,
80,96.0,59825,,,,,,
