# Recording: 25-reuse
# Exported: 2026-06-07T23:50:20.166Z
# Duration: 60.0 s
# World Seed: 12345
# View Distance: 3
# Terrain Quality: 24 segments
# Texture Reuse Rate: 25
# Terrain Algorithm: none
# Terrain Shader Seed: N/A
# Camera Height: 50
# Camera Distance: 60
# Camera Azimuth: 0.0000 rad
# Camera Polar: 1.0472 rad
#
# --- Summary (avg / min / max) ---
# FPS: 118.5 / 86 / 120
# Render ms: 58.909 / 12.800 / 446.000
# TextureGen ms: 6.337 / 1.200 / 15.800
# ChunkGen ms: 0.050 / 0.000 / 0.100
# Total Textures Generated: 43
# Total Chunks Generated: 10
#
# Object Slots:
#   tree/0: algorithm=wood seed=N/A
#   tree/1: algorithm=none seed=N/A
#   pine/0: algorithm=wood seed=N/A
#   pine/1: algorithm=none seed=N/A
#   rock/0: algorithm=perlin seed=N/A
#   rock/1: algorithm=none seed=N/A
#   cactus/0: algorithm=none seed=N/A
#   cactus/1: algorithm=none seed=N/A
#   bush/0: algorithm=simplex seed=N/A
#   bush/1: algorithm=none seed=N/A
#
Sample,FPS,FPS_Timestamp_ms,TextureGen_ms,TextureGen_Timestamp_ms,ChunkGen_ms,ChunkGen_Timestamp_ms,Render_ms,Render_Timestamp_ms
0,115.0,371,14.600,371,0.000,815,446.000,815
1,86.0,881,2.000,815,0.100,9403,57.800,1403
2,118.0,1403,1.300,1403,0.100,10738,57.600,2736
3,119.0,1902,1.900,2736,0.000,13410,65.400,4074
4,120.0,2403,1.300,4074,0.100,24077,59.100,5404
5,118.0,2910,15.200,5404,0.000,26742,78.600,6756
6,120.0,3410,2.000,6756,0.100,45415,79.700,8087
7,119.0,3916,1.900,8087,0.000,46755,13.200,9403
8,118.0,4417,1.400,9403,0.100,54756,60.300,10738
9,120.0,4916,1.300,10738,0.000,56088,17.700,12071
10,118.0,5420,1.800,12071,,,58.900,13410
11,120.0,5924,14.600,13410,,,59.100,14744
12,117.0,6931,1.300,14744,,,59.900,16078
13,120.0,7431,2.000,16078,,,13.700,17439
14,118.0,8432,14.700,17439,,,12.800,18744
15,120.0,8938,2.000,18744,,,62.900,20080
16,117.0,9438,14.500,20080,,,45.100,21396
17,120.0,9937,2.000,21396,,,74.200,22758
18,118.0,10938,1.900,24077,,,59.100,24077
19,120.0,11445,15.200,25408,,,13.000,25408
20,118.0,12451,1.900,26742,,,13.400,26742
21,120.0,12952,2.000,28077,,,59.900,28077
22,118.0,13452,1.900,29414,,,63.300,29414
23,120.0,13957,2.000,30748,,,12.900,30748
24,118.0,14958,15.400,32082,,,58.600,32082
25,120.0,15458,1.200,33415,,,58.400,33415
26,117.0,16466,2.000,34749,,,59.200,34749
27,120.0,16965,14.400,36113,,,88.900,36113
28,117.0,17466,1.900,37416,,,60.200,37416
29,120.0,17972,1.400,38750,,,59.500,38750
30,117.0,18972,14.600,40084,,,61.200,40084
31,120.0,19472,15.100,41420,,,63.500,41420
32,118.0,20472,1.900,42749,,,12.900,42749
33,120.0,20978,2.000,46755,,,12.800,44082
34,118.0,21478,14.700,48111,,,13.000,45415
35,120.0,21979,1.900,49439,,,65.600,46755
36,118.0,22985,15.200,50756,,,82.000,48111
37,120.0,23485,2.000,52092,,,75.900,49439
38,118.0,24486,14.500,53420,,,13.500,50756
39,120.0,24985,2.000,54756,,,63.100,52092
40,118.0,25485,1.200,56088,,,13.800,53420
41,119.0,25985,14.600,57423,,,60.300,54756
42,120.0,26485,15.800,58761,,,59.100,56088
43,118.0,26984,,,,,60.400,57423
44,120.0,27485,,,,,65.400,58761
45,118.0,28485,,,,,,
46,120.0,28985,,,,,,
47,118.0,29485,,,,,,
48,120.0,29985,,,,,,
49,118.0,30991,,,,,,
50,120.0,31493,,,,,,
51,118.0,32498,,,,,,
52,120.0,32999,,,,,,
53,118.0,33499,,,,,,
54,120.0,34005,,,,,,
55,119.0,34505,,,,,,
56,118.0,35005,,,,,,
57,119.0,35505,,,,,,
58,120.0,36013,,,,,,
59,117.0,36513,,,,,,
60,120.0,37019,,,,,,
61,118.0,37526,,,,,,
62,120.0,38025,,,,,,
63,117.0,39026,,,,,,
64,120.0,39527,,,,,,
65,118.0,40533,,,,,,
66,119.0,41033,,,,,,
67,118.0,41540,,,,,,
68,120.0,42040,,,,,,
69,117.0,43047,,,,,,
70,120.0,43554,,,,,,
71,118.0,44093,,,,,,
72,119.0,44595,,,,,,
73,120.0,45094,,,,,,
74,118.0,45595,,,,,,
75,120.0,46095,,,,,,
76,116.0,47102,,,,,,
77,120.0,47602,,,,,,
78,118.0,48111,,,,,,
79,119.0,48611,,,,,,
80,120.0,49111,,,,,,
81,118.0,49611,,,,,,
82,119.0,50111,,,,,,
83,120.0,50611,,,,,,
84,117.0,51111,,,,,,
85,120.0,51611,,,,,,
86,118.0,52113,,,,,,
87,120.0,52616,,,,,,
88,118.0,53622,,,,,,
89,120.0,54122,,,,,,
90,118.0,55123,,,,,,
91,120.0,55622,,,,,,
92,118.0,56123,,,,,,
93,120.0,56622,,,,,,
94,118.0,57623,,,,,,
95,120.0,58122,,,,,,
96,116.0,59136,,,,,,
97,120.0,59636,,,,,,
