# Aggregate across 10 run(s) for config: 50-reuse
# Exported: 2026-06-07T23:50:20.166Z
#
Run,FPS_avg,FPS_min,FPS_max,Render_avg_ms,TextureGen_avg_ms,ChunkGen_avg_ms,TexturesGenerated,ChunksGenerated
1,118.8,115,120,47.813,5.541,0.050,41,8
2,118.5,87,120,62.831,6.207,0.040,44,5
3,118.5,87,120,65.775,6.503,0.045,39,11
4,118.5,84,120,61.349,6.421,0.046,42,13
5,118.7,108,120,60.093,6.207,0.060,41,5
6,118.5,84,120,64.345,6.663,0.050,41,20
7,118.5,86,120,58.909,6.337,0.050,43,10
8,118.5,85,120,62.339,6.081,0.043,43,7
9,118.6,91,120,65.148,6.379,0.043,43,7
10,118.7,109,120,65.767,6.386,0.050,42,12
MEAN,118.6,,,61.437,6.273,0.048,42,10
