# Recording: low-quality
# Run: 4 of 10
# Exported: 2026-06-06T23:20:00.644Z
# Duration: 60.0 s
# World Seed: 12345
# View Distance: 2
# Terrain Quality: 16 segments
# Texture Reuse Rate: 5
# Terrain Algorithm: none
# Terrain Shader Seed: N/A
# Camera Height: 50
# Camera Distance: 60
# Camera Azimuth: 0.0000 rad
# Camera Polar: 1.0472 rad
#
# --- Summary (avg / min / max) ---
# FPS: 118.9 / 115 / 120
# Render ms: 24.086 / 12.400 / 36.700
# TextureGen ms: 0.000 / 0.000 / 0.000
# ChunkGen ms: 0.043 / 0.000 / 0.100
# Total Textures Generated: 0
# Total Chunks Generated: 7
#
# Object Slots:
#   tree/0: algorithm=none seed=N/A
#   tree/1: algorithm=none seed=N/A
#   pine/0: algorithm=none seed=N/A
#   pine/1: algorithm=none seed=N/A
#   rock/0: algorithm=none seed=N/A
#   rock/1: algorithm=none seed=N/A
#   cactus/0: algorithm=none seed=N/A
#   cactus/1: algorithm=none seed=N/A
#   bush/0: algorithm=none seed=N/A
#   bush/1: algorithm=none seed=N/A
#
Sample,FPS,FPS_Timestamp_ms,TextureGen_ms,TextureGen_Timestamp_ms,ChunkGen_ms,ChunkGen_Timestamp_ms,Render_ms,Render_Timestamp_ms
0,115.0,390,,,0.000,62,29.300,104
1,119.0,897,,,0.100,104,26.700,1393
2,118.0,1405,,,0.000,1393,22.900,2723
3,117.0,1904,,,0.100,29455,27.400,4060
4,119.0,2404,,,0.000,30790,28.800,5395
5,118.0,2905,,,0.100,46810,23.900,6746
6,119.0,3909,,,0.000,48149,14.300,8068
7,118.0,4404,,,,,12.400,9403
8,119.0,4914,,,,,14.700,10739
9,118.0,5420,,,,,31.600,12080
10,119.0,5924,,,,,26.700,13420
11,118.0,6929,,,,,23.200,14759
12,119.0,7930,,,,,33.000,16101
13,117.0,8432,,,,,36.700,17444
14,119.0,8931,,,,,17.000,18767
15,118.0,9434,,,,,25.900,20106
16,119.0,9937,,,,,29.400,21459
17,116.0,10937,,,,,20.600,22781
18,118.0,11438,,,,,22.000,24116
19,119.0,11939,,,,,19.400,25457
20,117.0,12439,,,,,19.600,26787
21,120.0,12940,,,,,28.700,28129
22,118.0,13442,,,,,21.400,29455
23,119.0,13945,,,,,22.800,30790
24,116.0,14944,,,,,28.800,32129
25,120.0,15445,,,,,20.000,33453
26,118.0,16455,,,,,21.500,34788
27,119.0,16951,,,,,19.400,36130
28,118.0,17453,,,,,19.800,37460
29,120.0,17961,,,,,21.600,38795
30,118.0,18963,,,,,35.300,40143
31,119.0,19967,,,,,20.900,41475
32,118.0,20467,,,,,21.600,42809
33,120.0,20973,,,,,21.600,44142
34,116.0,21475,,,,,31.600,45486
35,120.0,21985,,,,,23.400,46810
36,119.0,22480,,,,,28.000,48149
37,120.0,23478,,,,,26.700,49488
38,119.0,24478,,,,,24.200,52158
39,120.0,24978,,,,,22.300,53490
40,119.0,25481,,,,,28.800,54829
41,120.0,25985,,,,,21.800,56162
42,119.0,26492,,,,,22.600,57503
43,120.0,28000,,,,,21.500,58829
44,119.0,28510,,,,,,
45,120.0,29017,,,,,,
46,119.0,29521,,,,,,
47,120.0,30027,,,,,,
48,119.0,31027,,,,,,
49,120.0,31526,,,,,,
50,119.0,32535,,,,,,
51,120.0,33035,,,,,,
52,119.0,33534,,,,,,
53,120.0,34033,,,,,,
54,119.0,35034,,,,,,
55,120.0,35534,,,,,,
56,119.0,36533,,,,,,
57,120.0,38042,,,,,,
58,119.0,39041,,,,,,
59,120.0,39541,,,,,,
60,118.0,40548,,,,,,
61,120.0,41049,,,,,,
62,119.0,41555,,,,,,
63,120.0,42054,,,,,,
64,119.0,43055,,,,,,
65,120.0,43555,,,,,,
66,118.0,44561,,,,,,
67,120.0,45060,,,,,,
68,118.0,45561,,,,,,
69,120.0,46060,,,,,,
70,119.0,46560,,,,,,
71,120.0,47560,,,,,,
72,119.0,48561,,,,,,
73,120.0,49060,,,,,,
74,118.0,49561,,,,,,
75,120.0,50061,,,,,,
76,119.0,51068,,,,,,
77,120.0,51574,,,,,,
78,119.0,52581,,,,,,
79,120.0,54095,,,,,,
80,119.0,54596,,,,,,
81,120.0,55601,,,,,,
82,119.0,56101,,,,,,
83,120.0,57101,,,,,,
84,118.0,57601,,,,,,
85,120.0,58102,,,,,,
86,119.0,58601,,,,,,
87,120.0,59609,,,,,,
