# Aggregate summary for config: low-quality
# Runs: 10
# Exported: 2026-06-06T23:20:00.644Z
#
Run,FPS_Avg,FPS_Min,FPS_Max,Render_Avg_ms,TextureGen_Avg_ms,ChunkGen_Avg_ms,TexturesGenerated,ChunksGenerated,Duration_s
1,118.9,116,120,21.998,0.000,0.045,0,11,60.0
2,103.2,87,120,29.344,0.000,0.083,0,18,60.0
3,107.2,87,120,26.356,0.000,0.040,0,5,60.0
4,118.9,115,120,24.086,0.000,0.043,0,7,60.0
5,119.2,116,120,22.468,0.000,0.046,0,13,60.0
6,119.3,116,120,22.258,0.000,0.050,0,10,60.0
7,119.3,117,120,21.458,0.000,0.043,0,7,60.0
8,119.2,116,120,22.844,0.000,0.045,0,11,60.0
9,118.6,114,120,24.378,0.000,0.047,0,17,60.0
10,118.9,114,120,22.191,0.000,0.047,0,15,60.0
AVERAGE,116.3,110,120,23.738,0.000,0.049,0,11,60.0
