# Recording: vd-5
# Run: 6 of 10
# Exported: 2026-06-07T00:36:24.993Z
# Duration: 60.0 s
# World Seed: 12345
# View Distance: 5
# Terrain Quality: 32 segments
# Texture Reuse Rate: 3
# Terrain Algorithm: none
# Terrain Shader Seed: N/A
# Camera Height: 50
# Camera Distance: 60
# Camera Azimuth: 0.0000 rad
# Camera Polar: 1.0472 rad
#
# --- Summary (avg / min / max) ---
# FPS: 82.4 / 65 / 107
# Render ms: 53.720 / 21.100 / 72.300
# TextureGen ms: 0.000 / 0.000 / 0.000
# ChunkGen ms: 0.050 / 0.000 / 0.100
# Total Textures Generated: 0
# Total Chunks Generated: 10
#
# Object Slots:
#   tree/0: algorithm=none seed=N/A
#   tree/1: algorithm=none seed=N/A
#   pine/0: algorithm=none seed=N/A
#   pine/1: algorithm=none seed=N/A
#   rock/0: algorithm=none seed=N/A
#   rock/1: algorithm=none seed=N/A
#   cactus/0: algorithm=none seed=N/A
#   cactus/1: algorithm=none seed=N/A
#   bush/0: algorithm=none seed=N/A
#   bush/1: algorithm=none seed=N/A
#
Sample,FPS,FPS_Timestamp_ms,TextureGen_ms,TextureGen_Timestamp_ms,ChunkGen_ms,ChunkGen_Timestamp_ms,Render_ms,Render_Timestamp_ms
0,107.0,377,,,0.000,377,50.300,427
1,95.0,848,,,0.100,17398,51.200,1396
2,90.0,1348,,,0.000,18743,52.700,2731
3,85.0,1851,,,0.100,37453,51.000,4074
4,91.0,2361,,,0.100,38799,63.700,5407
5,87.0,2865,,,0.000,40138,54.900,6745
6,84.0,3373,,,0.100,41464,51.400,8077
7,92.0,3878,,,0.000,42804,26.600,9412
8,93.0,4377,,,0.100,46823,55.300,10744
9,92.0,4881,,,0.000,48157,55.400,12078
10,85.0,5407,,,,,53.500,13410
11,82.0,5914,,,,,53.100,16076
12,76.0,6416,,,,,56.400,17413
13,70.0,6922,,,,,51.200,18743
14,78.0,7428,,,,,53.200,20076
15,76.0,8946,,,,,52.200,21408
16,73.0,9457,,,,,71.100,22759
17,92.0,9968,,,,,52.300,24090
18,76.0,10479,,,,,21.700,25415
19,74.0,10981,,,,,55.200,26762
20,79.0,11495,,,,,61.100,28094
21,77.0,12015,,,,,30.100,29449
22,88.0,12516,,,,,53.200,30775
23,77.0,13020,,,,,47.700,32103
24,81.0,13524,,,,,54.900,33445
25,73.0,14033,,,,,68.400,34795
26,86.0,14545,,,,,56.100,36130
27,73.0,15064,,,,,65.400,37464
28,78.0,15564,,,,,53.500,38799
29,74.0,16076,,,,,62.200,40152
30,80.0,16580,,,,,69.800,41478
31,79.0,17081,,,,,64.800,42820
32,80.0,17586,,,,,62.400,44151
33,81.0,18087,,,,,66.100,45489
34,77.0,18598,,,,,32.300,46823
35,87.0,19115,,,,,64.900,48173
36,74.0,19616,,,,,59.500,49498
37,85.0,20115,,,,,61.500,50828
38,90.0,20630,,,,,55.600,52163
39,83.0,21135,,,,,72.300,53506
40,86.0,22149,,,,,65.900,54839
41,87.0,22650,,,,,21.100,56159
42,89.0,23156,,,,,22.200,57502
43,91.0,23661,,,,,60.300,58838
44,81.0,24161,,,,,,
45,91.0,24670,,,,,,
46,87.0,25170,,,,,,
47,97.0,25679,,,,,,
48,87.0,26182,,,,,,
49,91.0,26684,,,,,,
50,84.0,27189,,,,,,
51,92.0,27690,,,,,,
52,86.0,28198,,,,,,
53,93.0,28703,,,,,,
54,89.0,29204,,,,,,
55,88.0,29714,,,,,,
56,87.0,30227,,,,,,
57,89.0,30728,,,,,,
58,87.0,31231,,,,,,
59,91.0,31733,,,,,,
60,90.0,32237,,,,,,
61,89.0,32755,,,,,,
62,87.0,33264,,,,,,
63,89.0,33782,,,,,,
64,86.0,34292,,,,,,
65,78.0,35295,,,,,,
66,89.0,35797,,,,,,
67,91.0,36299,,,,,,
68,84.0,36814,,,,,,
69,92.0,37316,,,,,,
70,90.0,37830,,,,,,
71,95.0,38333,,,,,,
72,78.0,38846,,,,,,
73,91.0,39351,,,,,,
74,87.0,39855,,,,,,
75,65.0,40357,,,,,,
76,79.0,40862,,,,,,
77,67.0,41365,,,,,,
78,75.0,41865,,,,,,
79,81.0,42886,,,,,,
80,69.0,43391,,,,,,
81,83.0,43892,,,,,,
82,74.0,44391,,,,,,
83,73.0,44892,,,,,,
84,74.0,45401,,,,,,
85,72.0,45917,,,,,,
86,68.0,46417,,,,,,
87,72.0,46935,,,,,,
88,70.0,47448,,,,,,
89,79.0,47953,,,,,,
90,69.0,48465,,,,,,
91,72.0,48980,,,,,,
92,67.0,49498,,,,,,
93,81.0,49999,,,,,,
94,78.0,50515,,,,,,
95,77.0,51015,,,,,,
96,82.0,52016,,,,,,
97,71.0,52532,,,,,,
98,88.0,53036,,,,,,
99,76.0,53549,,,,,,
100,75.0,54050,,,,,,
101,82.0,54564,,,,,,
102,74.0,55072,,,,,,
103,83.0,55580,,,,,,
104,82.0,56084,,,,,,
105,76.0,56596,,,,,,
106,81.0,57098,,,,,,
107,79.0,57603,,,,,,
108,90.0,58115,,,,,,
109,86.0,58616,,,,,,
110,78.0,59133,,,,,,
111,95.0,59634,,,,,,
