# Recording: worley
# Run: 4 of 10
# Exported: 2026-06-07T01:44:40.314Z
# Duration: 60.0 s
# World Seed: 12345
# View Distance: 3
# Terrain Quality: 32 segments
# Texture Reuse Rate: 3
# Terrain Algorithm: none
# Terrain Shader Seed: N/A
# Camera Height: 50
# Camera Distance: 60
# Camera Azimuth: 0.0000 rad
# Camera Polar: 1.0472 rad
#
# --- Summary (avg / min / max) ---
# FPS: 112.7 / 22 / 118
# Render ms: 338.574 / 13.700 / 606.300
# TextureGen ms: 4.712 / 4.500 / 5.700
# ChunkGen ms: 0.047 / 0.000 / 0.100
# Total Textures Generated: 41
# Total Chunks Generated: 15
#
# Object Slots:
#   tree/0: algorithm=worley seed=N/A
#   tree/1: algorithm=worley seed=N/A
#   pine/0: algorithm=worley seed=N/A
#   pine/1: algorithm=worley seed=N/A
#   rock/0: algorithm=worley seed=N/A
#   rock/1: algorithm=worley seed=N/A
#   cactus/0: algorithm=worley seed=N/A
#   cactus/1: algorithm=worley seed=N/A
#   bush/0: algorithm=worley seed=N/A
#   bush/1: algorithm=worley seed=N/A
#
Sample,FPS,FPS_Timestamp_ms,TextureGen_ms,TextureGen_Timestamp_ms,ChunkGen_ms,ChunkGen_Timestamp_ms,Render_ms,Render_Timestamp_ms
0,100.0,3512,4.700,3512,0.000,3512,14.100,4639
1,57.0,4639,4.800,4639,0.100,12659,22.800,5840
2,22.0,5174,4.500,5174,0.000,13898,22.600,7285
3,95.0,5840,4.700,5840,0.100,15300,21.700,8395
4,117.0,6338,4.800,7285,0.000,16623,22.800,9890
5,116.0,7781,4.600,8395,0.100,18000,31.600,11336
6,112.0,8893,4.800,9890,0.000,19296,23.300,12659
7,117.0,9890,4.600,11336,0.100,34043,23.000,13898
8,116.0,11336,5.000,13898,0.000,35335,571.900,15300
9,117.0,11837,4.800,15300,0.100,43424,561.400,16623
10,116.0,12659,4.600,16623,0.000,46078,31.400,18000
11,117.0,13155,4.600,18000,0.100,47422,21.400,19296
12,116.0,13898,4.700,19296,0.000,48736,581.600,20670
13,117.0,14398,4.800,20670,0.100,50049,493.100,21915
14,118.0,15801,4.700,21915,0.000,51373,524.900,23288
15,117.0,16623,4.600,23288,,,545.300,24641
16,116.0,17121,4.700,24641,,,14.400,26018
17,117.0,18495,4.600,26018,,,21.800,27303
18,116.0,19794,4.500,27303,,,574.000,28684
19,117.0,20670,4.800,28684,,,540.600,29984
20,116.0,21168,4.700,29984,,,571.100,31354
21,117.0,22413,4.600,31354,,,548.200,32665
22,118.0,23288,4.800,32665,,,586.400,34043
23,117.0,23780,4.600,35335,,,531.200,35335
24,118.0,25140,4.600,36730,,,592.100,36730
25,117.0,26018,4.500,38006,,,528.100,38006
26,116.0,26515,4.900,39320,,,509.300,39320
27,117.0,27303,4.700,40715,,,564.700,40715
28,116.0,31855,4.800,42004,,,521.500,42005
29,117.0,32665,4.600,43424,,,14.500,43424
30,116.0,34543,4.700,44657,,,14.100,44657
31,115.0,35335,5.700,46078,,,587.800,46078
32,116.0,35828,4.600,47422,,,13.700,47422
33,117.0,36730,4.800,48736,,,14.400,48736
34,116.0,37230,4.500,50049,,,559.000,50049
35,117.0,38006,4.700,51373,,,543.300,51373
36,116.0,42004,4.800,52737,,,573.000,52737
37,117.0,43424,4.600,54023,,,526.400,54023
38,116.0,44657,4.700,56766,,,606.300,55444
39,117.0,45153,4.900,58044,,,596.700,56766
40,115.0,46578,4.500,59463,,,540.500,58044
41,116.0,47422,,,,,14.100,59463
42,117.0,47917,,,,,,
43,116.0,48736,,,,,,
44,117.0,49236,,,,,,
45,115.0,51868,,,,,,
46,117.0,52737,,,,,,
47,116.0,56766,,,,,,
48,117.0,58535,,,,,,
49,116.0,59463,,,,,,
50,117.0,59959,,,,,,
