# Aggregate summary for config: worley
# Runs: 10
# Exported: 2026-06-07T01:44:40.314Z
#
Run,FPS_Avg,FPS_Min,FPS_Max,Render_Avg_ms,TextureGen_Avg_ms,ChunkGen_Avg_ms,TexturesGenerated,ChunksGenerated,Duration_s
1,115.3,73,119,352.084,4.751,0.050,39,14,60.0
2,112.8,19,118,384.421,4.697,0.046,39,13,60.0
3,111.0,20,118,350.752,4.715,0.044,39,9,60.0
4,112.7,22,118,338.574,4.712,0.047,41,15,60.0
5,112.7,20,118,396.336,4.653,0.044,43,9,60.0
6,111.7,21,118,342.017,4.713,0.050,38,12,60.0
7,110.8,21,118,374.774,4.747,0.043,40,7,60.0
8,113.4,22,118,342.743,4.671,0.044,38,9,60.0
9,112.4,21,118,384.832,4.743,0.050,37,8,60.0
10,111.7,23,118,381.971,4.753,0.040,36,5,60.0
AVERAGE,112.4,26,118,364.850,4.716,0.046,39,10,60.0
