# Recording: my-config
# Exported: 2026-06-07T22:25:30.873Z
# Duration: 60.0 s
# World Seed: 42
# View Distance: 3
# Terrain Quality: 24 segments
# Texture Reuse Rate: 1
# Terrain Algorithm: none
# Terrain Shader Seed: N/A
# Camera Height: 50
# Camera Distance: 60
# Camera Azimuth: 0.0000 rad
# Camera Polar: 1.0472 rad
#
# --- Summary (avg / min / max) ---
# FPS: 97.7 / 84 / 119
# Render ms: 93.840 / 13.700 / 228.700
# TextureGen ms: 6.250 / 1.200 / 15.800
# ChunkGen ms: 0.100 / 0.000 / 0.500
# Total Textures Generated: 44
# Total Chunks Generated: 8
#
# Object Slots:
#   tree/0: algorithm=none seed=N/A
#   tree/1: algorithm=none seed=N/A
#   pine/0: algorithm=none seed=N/A
#   pine/1: algorithm=none seed=N/A
#   rock/0: algorithm=none seed=N/A
#   rock/1: algorithm=none seed=N/A
#   cactus/0: algorithm=none seed=N/A
#   cactus/1: algorithm=none seed=N/A
#   bush/0: algorithm=none seed=N/A
#   bush/1: algorithm=none seed=N/A
#
Sample,FPS,FPS_Timestamp_ms,TextureGen_ms,TextureGen_Timestamp_ms,ChunkGen_ms,ChunkGen_Timestamp_ms,Render_ms,Render_Timestamp_ms
0,107.0,810,1.300,810,0.000,919,228.700,932
1,113.0,1207,2.000,919,0.100,17563,20.700,1432
2,109.0,1718,14.600,1432,0.000,18873,108.100,2789
3,101.0,2220,15.800,2779,0.100,41616,21.900,4123
4,115.0,2789,15.100,4123,0.500,42956,18.800,5469
5,96.0,3294,14.500,5469,0.000,44280,26.700,6832
6,115.0,3798,2.100,6832,0.100,48295,21.500,8167
7,111.0,4303,1.300,8167,0.000,49631,99.600,9482
8,105.0,4805,1.200,9482,,,131.800,10868
9,101.0,5306,15.400,10868,,,109.800,12176
10,97.0,5809,1.900,12167,,,104.300,13508
11,92.0,6320,2.600,13508,,,13.700,14837
12,93.0,6832,2.000,14837,,,100.500,16178
13,98.0,7334,14.600,16178,,,21.700,17563
14,95.0,7838,14.400,17563,,,107.500,18873
15,96.0,8337,2.000,18873,,,21.500,20214
16,116.0,8837,14.700,20214,,,94.800,21545
17,106.0,9344,1.800,21535,,,119.500,22904
18,116.0,9851,2.000,22904,,,105.300,24225
19,99.0,10358,15.300,25577,,,109.700,25577
20,92.0,10868,1.900,26914,,,115.000,26914
21,102.0,11372,14.700,28261,,,131.500,28261
22,92.0,11873,1.400,29561,,,94.600,29561
23,100.0,12377,2.000,30941,,,125.400,30941
24,96.0,12879,14.500,32244,,,98.800,32244
25,102.0,13378,15.500,33591,,,18.500,33592
26,118.0,13879,2.200,34929,,,112.400,34939
27,101.0,14386,14.700,36302,,,137.800,36302
28,105.0,14885,2.200,37585,,,109.800,37598
29,119.0,15386,14.900,38936,,,104.900,38936
30,101.0,15888,2.000,40263,,,116.100,40276
31,113.0,16401,14.600,41616,,,118.000,41616
32,104.0,16901,2.000,42956,,,118.600,42956
33,96.0,17406,1.300,45630,,,108.300,44280
34,101.0,17911,1.400,46993,,,111.100,45630
35,102.0,18414,1.300,48295,,,140.700,46993
36,92.0,18915,2.100,49631,,,111.200,48295
37,98.0,19420,1.300,50970,,,115.500,49631
38,92.0,19921,1.300,52297,,,115.700,50982
39,95.0,20422,1.200,53669,,,112.500,52307
40,94.0,20945,2.200,54996,,,28.000,53669
41,95.0,21437,1.300,56315,,,121.400,54996
42,101.0,21941,3.000,57649,,,22.800,56315
43,96.0,22439,1.400,59026,,,106.900,57661
44,87.0,22943,,,,,141.200,59026
45,98.0,23453,,,,,,
46,100.0,23950,,,,,,
47,97.0,24451,,,,,,
48,102.0,24954,,,,,,
49,100.0,25476,,,,,,
50,89.0,25974,,,,,,
51,99.0,26487,,,,,,
52,93.0,26989,,,,,,
53,98.0,27489,,,,,,
54,97.0,27993,,,,,,
55,87.0,28501,,,,,,
56,100.0,29005,,,,,,
57,91.0,29561,,,,,,
58,102.0,30060,,,,,,
59,99.0,30574,,,,,,
60,95.0,31079,,,,,,
61,93.0,31585,,,,,,
62,100.0,32087,,,,,,
63,85.0,32590,,,,,,
64,100.0,33093,,,,,,
65,93.0,33602,,,,,,
66,95.0,34102,,,,,,
67,86.0,34601,,,,,,
68,95.0,35102,,,,,,
69,98.0,35606,,,,,,
70,97.0,36106,,,,,,
71,95.0,36608,,,,,,
72,97.0,37109,,,,,,
73,91.0,37620,,,,,,
74,99.0,38121,,,,,,
75,96.0,38621,,,,,,
76,87.0,39127,,,,,,
77,93.0,39636,,,,,,
78,91.0,40151,,,,,,
79,92.0,40653,,,,,,
80,96.0,41158,,,,,,
81,97.0,41656,,,,,,
82,93.0,42172,,,,,,
83,91.0,42686,,,,,,
84,95.0,43187,,,,,,
85,93.0,43689,,,,,,
86,90.0,45288,,,,,,
87,94.0,45790,,,,,,
88,103.0,46296,,,,,,
89,97.0,46801,,,,,,
90,94.0,47307,,,,,,
91,95.0,47808,,,,,,
92,91.0,48315,,,,,,
93,100.0,48822,,,,,,
94,96.0,49834,,,,,,
95,84.0,50339,,,,,,
96,97.0,50861,,,,,,
97,96.0,51368,,,,,,
98,97.0,51869,,,,,,
99,89.0,52370,,,,,,
100,102.0,52886,,,,,,
101,94.0,53895,,,,,,
102,97.0,54396,,,,,,
103,93.0,55504,,,,,,
104,94.0,56006,,,,,,
105,96.0,56512,,,,,,
106,94.0,57019,,,,,,
107,99.0,57521,,,,,,
108,94.0,58023,,,,,,
109,93.0,59026,,,,,,
