# Aggregate summary for config: 25-reuse
# Runs: 10
# Exported: 2026-06-07T01:18:53.652Z
#
Run,FPS_Avg,FPS_Min,FPS_Max,Render_Avg_ms,TextureGen_Avg_ms,ChunkGen_Avg_ms,TexturesGenerated,ChunksGenerated,Duration_s
1,96.6,66,114,424.276,8.907,0.059,43,17,60.0
2,94.5,30,117,399.310,8.898,0.043,41,7,60.0
3,96.6,26,117,436.405,9.059,0.047,44,19,60.0
4,94.6,32,105,432.946,9.050,0.050,42,8,60.0
5,95.6,33,104,408.948,8.909,0.057,43,7,60.0
6,95.2,49,114,431.031,9.093,0.040,42,5,60.0
7,95.4,55,105,384.907,8.605,0.050,41,14,60.0
8,96.0,53,104,401.262,9.222,0.053,41,15,60.0
9,93.9,31,104,396.012,8.576,0.057,41,7,60.0
10,94.3,26,105,432.088,9.040,0.043,42,7,60.0
AVERAGE,95.3,40,109,414.718,8.936,0.050,42,11,60.0
