# Recording: high-quality
# Run: 2 of 10
# Exported: 2026-06-06T23:30:12.838Z
# Duration: 60.0 s
# World Seed: 12345
# View Distance: 5
# Terrain Quality: 64 segments
# Texture Reuse Rate: 1
# Terrain Algorithm: none
# Terrain Shader Seed: N/A
# Camera Height: 50
# Camera Distance: 60
# Camera Azimuth: 0.0000 rad
# Camera Polar: 1.0472 rad
#
# --- Summary (avg / min / max) ---
# FPS: 112.8 / 88 / 119
# Render ms: 62.733 / 9.300 / 144.200
# TextureGen ms: 0.000 / 0.000 / 0.000
# ChunkGen ms: 0.045 / 0.000 / 0.100
# Total Textures Generated: 0
# Total Chunks Generated: 11
#
# Object Slots:
#   tree/0: algorithm=none seed=N/A
#   tree/1: algorithm=none seed=N/A
#   pine/0: algorithm=none seed=N/A
#   pine/1: algorithm=none seed=N/A
#   rock/0: algorithm=none seed=N/A
#   rock/1: algorithm=none seed=N/A
#   cactus/0: algorithm=none seed=N/A
#   cactus/1: algorithm=none seed=N/A
#   bush/0: algorithm=none seed=N/A
#   bush/1: algorithm=none seed=N/A
#
Sample,FPS,FPS_Timestamp_ms,TextureGen_ms,TextureGen_Timestamp_ms,ChunkGen_ms,ChunkGen_Timestamp_ms,Render_ms,Render_Timestamp_ms
0,116.0,1250,,,0.000,1250,9.300,1386
1,88.0,1728,,,0.100,18936,27.800,2822
2,119.0,2234,,,0.000,20267,28.100,4144
3,116.0,2822,,,0.100,24300,119.200,5484
4,119.0,3822,,,0.000,25654,46.900,6840
5,114.0,4327,,,0.100,35048,31.500,8180
6,101.0,5338,,,0.000,36378,29.800,9532
7,106.0,5841,,,0.100,37734,131.200,10866
8,111.0,6347,,,0.000,39062,135.100,12211
9,104.0,6855,,,0.100,45799,32.900,13551
10,107.0,7351,,,0.000,47141,133.600,14895
11,112.0,7855,,,,,131.600,16242
12,98.0,8358,,,,,30.300,17595
13,115.0,8859,,,,,30.500,18936
14,116.0,9360,,,,,28.800,20267
15,106.0,9861,,,,,28.400,21610
16,116.0,10367,,,,,130.400,22961
17,113.0,10878,,,,,129.200,24300
18,111.0,11378,,,,,134.800,25654
19,117.0,11885,,,,,132.200,26984
20,106.0,12388,,,,,27.800,28330
21,116.0,12894,,,,,27.600,29677
22,117.0,13396,,,,,26.800,31003
23,105.0,13902,,,,,128.200,32349
24,116.0,14403,,,,,28.100,33706
25,111.0,14907,,,,,30.000,35048
26,113.0,15408,,,,,27.200,36378
27,116.0,15914,,,,,27.500,37734
28,110.0,16415,,,,,27.300,39062
29,113.0,16922,,,,,136.200,40411
30,116.0,17423,,,,,31.000,41769
31,106.0,17931,,,,,135.200,43097
32,115.0,18437,,,,,33.500,44441
33,112.0,18949,,,,,31.200,45799
34,111.0,19449,,,,,144.200,47141
35,117.0,19954,,,,,29.300,48485
36,108.0,20465,,,,,133.600,49817
37,116.0,20961,,,,,28.600,51157
38,117.0,21465,,,,,27.800,52515
39,109.0,21968,,,,,29.700,53847
40,118.0,22474,,,,,27.600,55202
41,113.0,22984,,,,,29.900,57886
42,115.0,23484,,,,,27.600,59234
43,117.0,23984,,,,,,
44,108.0,24487,,,,,,
45,118.0,24989,,,,,,
46,107.0,25996,,,,,,
47,117.0,26496,,,,,,
48,112.0,27008,,,,,,
49,115.0,27510,,,,,,
50,118.0,28019,,,,,,
51,109.0,28526,,,,,,
52,118.0,29025,,,,,,
53,119.0,29526,,,,,,
54,108.0,30025,,,,,,
55,119.0,30525,,,,,,
56,115.0,31027,,,,,,
57,116.0,31532,,,,,,
58,119.0,32035,,,,,,
59,111.0,32541,,,,,,
60,119.0,33048,,,,,,
61,118.0,33552,,,,,,
62,111.0,34053,,,,,,
63,118.0,34558,,,,,,
64,113.0,35060,,,,,,
65,115.0,35559,,,,,,
66,118.0,36061,,,,,,
67,110.0,36565,,,,,,
68,118.0,37070,,,,,,
69,111.0,38070,,,,,,
70,119.0,38570,,,,,,
71,116.0,39078,,,,,,
72,114.0,39574,,,,,,
73,118.0,40078,,,,,,
74,106.0,40580,,,,,,
75,115.0,41082,,,,,,
76,106.0,42100,,,,,,
77,113.0,42602,,,,,,
78,112.0,43616,,,,,,
79,113.0,44113,,,,,,
80,102.0,44623,,,,,,
81,114.0,45122,,,,,,
82,99.0,46137,,,,,,
83,113.0,46642,,,,,,
84,111.0,47155,,,,,,
85,110.0,47661,,,,,,
86,116.0,48163,,,,,,
87,104.0,48664,,,,,,
88,115.0,49169,,,,,,
89,117.0,49671,,,,,,
90,109.0,50174,,,,,,
91,117.0,50675,,,,,,
92,113.0,51184,,,,,,
93,114.0,51683,,,,,,
94,118.0,52184,,,,,,
95,108.0,52688,,,,,,
96,118.0,53190,,,,,,
97,107.0,54202,,,,,,
98,118.0,54702,,,,,,
99,113.0,55214,,,,,,
100,118.0,56222,,,,,,
101,109.0,56725,,,,,,
102,119.0,57232,,,,,,
103,107.0,58233,,,,,,
104,118.0,58739,,,,,,
105,115.0,59246,,,,,,
106,113.0,59745,,,,,,
