# Aggregate summary for config: high-quality
# Runs: 10
# Exported: 2026-06-06T23:30:12.839Z
#
Run,FPS_Avg,FPS_Min,FPS_Max,Render_Avg_ms,TextureGen_Avg_ms,ChunkGen_Avg_ms,TexturesGenerated,ChunksGenerated,Duration_s
1,114.2,98,119,56.327,0.000,0.040,0,5,60.0
2,112.8,88,119,62.733,0.000,0.045,0,11,60.0
3,112.5,90,119,63.418,0.000,0.045,0,11,60.0
4,111.2,87,119,42.975,0.000,0.044,0,9,60.0
5,112.5,71,119,66.869,0.000,0.047,0,15,60.0
6,111.9,88,119,37.423,0.000,0.045,0,11,60.0
7,113.6,88,119,52.895,0.000,0.055,0,11,60.0
8,113.1,94,119,68.173,0.000,0.043,0,7,60.0
9,112.9,92,119,48.118,0.000,0.050,0,14,60.0
10,110.6,88,119,54.266,0.000,0.044,0,9,60.0
AVERAGE,112.5,88,119,55.320,0.000,0.046,0,10,60.0
