# Recording: perlin
# Run: 7 of 10
# Exported: 2026-06-07T01:54:52.418Z
# Duration: 60.0 s
# World Seed: 12345
# View Distance: 3
# Terrain Quality: 32 segments
# Texture Reuse Rate: 3
# Terrain Algorithm: none
# Terrain Shader Seed: N/A
# Camera Height: 50
# Camera Distance: 60
# Camera Azimuth: 0.0000 rad
# Camera Polar: 1.0472 rad
#
# --- Summary (avg / min / max) ---
# FPS: 116.2 / 91 / 120
# Render ms: 129.144 / 14.500 / 211.100
# TextureGen ms: 1.321 / 1.200 / 1.900
# ChunkGen ms: 0.048 / 0.000 / 0.100
# Total Textures Generated: 39
# Total Chunks Generated: 21
#
# Object Slots:
#   tree/0: algorithm=perlin seed=N/A
#   tree/1: algorithm=perlin seed=N/A
#   pine/0: algorithm=perlin seed=N/A
#   pine/1: algorithm=perlin seed=N/A
#   rock/0: algorithm=perlin seed=N/A
#   rock/1: algorithm=perlin seed=N/A
#   cactus/0: algorithm=perlin seed=N/A
#   cactus/1: algorithm=perlin seed=N/A
#   bush/0: algorithm=perlin seed=N/A
#   bush/1: algorithm=perlin seed=N/A
#
Sample,FPS,FPS_Timestamp_ms,TextureGen_ms,TextureGen_Timestamp_ms,ChunkGen_ms,ChunkGen_Timestamp_ms,Render_ms,Render_Timestamp_ms
0,117.0,1148,1.300,1148,0.000,1148,182.500,1317
1,91.0,1642,1.200,1272,0.100,4199,134.600,1521
2,118.0,2143,1.300,1521,0.000,5553,22.700,2819
3,119.0,2650,1.200,2819,0.100,14968,22.600,4199
4,115.0,3151,1.300,4199,0.000,16309,23.700,5553
5,119.0,3651,1.300,5553,0.100,27018,24.300,6915
6,117.0,4199,1.300,9615,0.000,28353,25.100,8203
7,118.0,4699,1.300,10950,0.100,29697,32.000,9615
8,119.0,5199,1.300,12287,0.000,31035,22.200,10950
9,115.0,5698,1.300,13644,0.100,32364,23.900,12287
10,120.0,6201,1.300,14968,0.000,33711,211.100,13644
11,119.0,6706,1.200,16309,0.100,36390,22.500,14968
12,111.0,7206,1.300,17658,0.000,37714,22.600,16309
13,119.0,7704,1.700,18977,0.100,40399,24.200,17658
14,114.0,8214,1.300,20331,0.000,41726,187.100,18977
15,116.0,8712,1.400,24354,0.100,43093,193.800,20331
16,119.0,9215,1.300,25707,0.000,44402,176.800,21657
17,112.0,9715,1.200,27018,0.100,45769,180.500,22999
18,119.0,10215,1.300,28353,0.000,47113,189.400,24354
19,118.0,10714,1.200,29697,0.100,52445,198.600,25707
20,112.0,11219,1.400,31035,0.000,53789,14.600,27018
21,118.0,11719,1.200,32364,,,181.500,28353
22,117.0,12287,1.300,33711,,,20.500,29697
23,119.0,12788,1.900,35037,,,14.500,31035
24,120.0,13287,1.200,36390,,,185.500,32364
25,108.0,13788,1.300,37714,,,193.100,33711
26,120.0,14287,1.700,39042,,,184.100,35037
27,119.0,14968,1.200,40399,,,197.900,36390
28,110.0,15295,1.400,41726,,,14.600,37714
29,119.0,15794,1.300,43093,,,176.800,39042
30,117.0,16309,1.300,44402,,,191.900,40399
31,111.0,16808,1.300,47113,,,179.000,41726
32,119.0,17312,1.300,48430,,,207.300,43093
33,110.0,17814,1.400,51106,,,175.600,44402
34,119.0,18312,1.300,52445,,,201.700,45769
35,118.0,18977,1.300,53789,,,205.100,47113
36,117.0,19475,1.200,55143,,,189.100,48430
37,119.0,19976,1.200,56483,,,191.100,49771
38,111.0,20475,1.300,57806,,,185.900,51106
39,120.0,20976,,,,,190.900,52445
40,119.0,21476,,,,,189.100,53789
41,109.0,21982,,,,,200.400,55143
42,117.0,22482,,,,,201.700,56483
43,120.0,23995,,,,,184.400,57806
44,106.0,24531,,,,,15.000,59170
45,111.0,25029,,,,,,
46,117.0,25707,,,,,,
47,116.0,26203,,,,,,
48,120.0,26711,,,,,,
49,110.0,27212,,,,,,
50,120.0,27711,,,,,,
51,118.0,28353,,,,,,
52,115.0,28848,,,,,,
53,114.0,29348,,,,,,
54,112.0,29850,,,,,,
55,120.0,30355,,,,,,
56,119.0,31035,,,,,,
57,113.0,31364,,,,,,
58,120.0,31869,,,,,,
59,116.0,32373,,,,,,
60,117.0,32876,,,,,,
61,120.0,33376,,,,,,
62,112.0,33883,,,,,,
63,118.0,34383,,,,,,
64,116.0,35537,,,,,,
65,120.0,36042,,,,,,
66,110.0,36543,,,,,,
67,119.0,37042,,,,,,
68,111.0,38049,,,,,,
69,120.0,38549,,,,,,
70,117.0,39052,,,,,,
71,118.0,39557,,,,,,
72,120.0,40063,,,,,,
73,111.0,40570,,,,,,
74,120.0,41070,,,,,,
75,118.0,41726,,,,,,
76,116.0,42223,,,,,,
77,119.0,42729,,,,,,
78,112.0,43230,,,,,,
79,119.0,43730,,,,,,
80,120.0,44230,,,,,,
81,112.0,44730,,,,,,
82,118.0,45236,,,,,,
83,113.0,46264,,,,,,
84,120.0,46764,,,,,,
85,111.0,47265,,,,,,
86,119.0,47763,,,,,,
87,118.0,48430,,,,,,
88,117.0,48931,,,,,,
89,119.0,49431,,,,,,
90,113.0,49933,,,,,,
91,119.0,50437,,,,,,
92,118.0,51106,,,,,,
93,116.0,51598,,,,,,
94,120.0,52104,,,,,,
95,110.0,52606,,,,,,
96,119.0,53112,,,,,,
97,120.0,53612,,,,,,
98,113.0,54113,,,,,,
99,120.0,54613,,,,,,
100,117.0,55143,,,,,,
101,120.0,56138,,,,,,
102,111.0,56639,,,,,,
103,120.0,57139,,,,,,
104,118.0,57806,,,,,,
105,116.0,58304,,,,,,
106,119.0,58805,,,,,,
107,109.0,59307,,,,,,
108,119.0,59805,,,,,,
