# Aggregate summary for config: perlin
# Runs: 10
# Exported: 2026-06-07T01:54:52.418Z
#
Run,FPS_Avg,FPS_Min,FPS_Max,Render_Avg_ms,TextureGen_Avg_ms,ChunkGen_Avg_ms,TexturesGenerated,ChunksGenerated,Duration_s
1,116.7,98,120,128.129,1.341,0.043,34,7,60.0
2,116.7,89,120,127.793,1.297,0.044,35,9,60.0
3,116.7,100,120,126.182,1.309,0.043,34,7,60.0
4,116.5,91,120,109.966,1.295,0.055,41,11,60.0
5,116.4,94,120,99.980,1.295,0.045,37,11,60.0
6,116.5,90,120,129.736,1.325,0.045,32,11,60.0
7,116.2,91,120,129.144,1.321,0.048,39,21,60.0
8,116.4,99,120,128.311,1.289,0.044,35,9,60.0
9,115.8,95,120,118.291,1.368,0.045,37,11,60.0
10,116.3,94,120,118.082,1.279,0.045,34,11,60.0
AVERAGE,116.4,94,120,121.561,1.312,0.046,36,11,60.0
