# Aggregate summary for config: vd-3
# Runs: 10
# Exported: 2026-06-07T00:46:37.117Z
#
Run,FPS_Avg,FPS_Min,FPS_Max,Render_Avg_ms,TextureGen_Avg_ms,ChunkGen_Avg_ms,TexturesGenerated,ChunksGenerated,Duration_s
1,104.7,86,119,38.493,0.000,0.000,0,1,60.0
2,95.9,84,112,42.404,0.000,0.047,0,15,60.0
3,95.9,87,105,42.484,0.000,0.069,0,13,60.0
4,96.0,82,120,44.140,0.000,0.044,0,9,60.0
5,95.0,85,110,44.402,0.000,0.044,0,9,60.0
6,96.3,84,120,42.447,0.000,0.044,0,9,60.0
7,97.2,87,120,42.249,0.000,0.050,0,8,60.0
8,97.3,82,120,42.209,0.000,0.050,0,12,60.0
9,115.6,89,120,32.042,0.000,0.050,0,10,60.0
10,118.7,114,120,33.533,0.000,0.046,0,13,60.0
AVERAGE,101.3,88,117,40.440,0.000,0.045,0,10,60.0
