# Recording: baseline
# Run: 2 of 10
# Exported: 2026-06-06T23:40:25.095Z
# Duration: 60.0 s
# World Seed: 12345
# View Distance: 3
# Terrain Quality: 32 segments
# Texture Reuse Rate: 3
# Terrain Algorithm: none
# Terrain Shader Seed: N/A
# Camera Height: 50
# Camera Distance: 60
# Camera Azimuth: 0.0000 rad
# Camera Polar: 1.0472 rad
#
# --- Summary (avg / min / max) ---
# FPS: 118.0 / 106 / 120
# Render ms: 34.638 / 14.600 / 62.500
# TextureGen ms: 0.000 / 0.000 / 0.000
# ChunkGen ms: 0.043 / 0.000 / 0.100
# Total Textures Generated: 0
# Total Chunks Generated: 7
#
# Object Slots:
#   tree/0: algorithm=none seed=N/A
#   tree/1: algorithm=none seed=N/A
#   pine/0: algorithm=none seed=N/A
#   pine/1: algorithm=none seed=N/A
#   rock/0: algorithm=none seed=N/A
#   rock/1: algorithm=none seed=N/A
#   cactus/0: algorithm=none seed=N/A
#   cactus/1: algorithm=none seed=N/A
#   bush/0: algorithm=none seed=N/A
#   bush/1: algorithm=none seed=N/A
#
Sample,FPS,FPS_Timestamp_ms,TextureGen_ms,TextureGen_Timestamp_ms,ChunkGen_ms,ChunkGen_Timestamp_ms,Render_ms,Render_Timestamp_ms
0,106.0,413,,,0.000,212,62.500,261
1,120.0,918,,,0.100,8064,38.900,1384
2,118.0,1418,,,0.000,9394,37.400,2716
3,120.0,1918,,,0.100,20111,35.100,4047
4,118.0,2932,,,0.000,21509,37.100,5382
5,120.0,3432,,,0.100,36204,21.200,6720
6,118.0,4439,,,0.000,37552,44.700,8064
7,120.0,4939,,,,,15.300,9394
8,118.0,5441,,,,,15.600,10728
9,120.0,5941,,,,,46.200,12071
10,119.0,6442,,,,,22.100,13409
11,117.0,6943,,,,,22.200,14754
12,119.0,7448,,,,,25.300,16097
13,120.0,7947,,,,,16.600,17430
14,118.0,8454,,,,,21.800,18771
15,120.0,8953,,,,,22.700,20111
16,116.0,9575,,,,,24.500,21509
17,119.0,10078,,,,,22.600,22798
18,115.0,11079,,,,,58.400,24160
19,119.0,11579,,,,,44.500,25485
20,117.0,12081,,,,,46.600,26827
21,120.0,12586,,,,,46.900,28168
22,118.0,13092,,,,,21.200,29497
23,120.0,14092,,,,,39.300,30834
24,119.0,14593,,,,,24.500,32176
25,118.0,15099,,,,,24.800,33523
26,120.0,15598,,,,,46.600,34862
27,117.0,16111,,,,,48.700,36204
28,119.0,17114,,,,,39.000,37552
29,114.0,17617,,,,,45.000,38881
30,119.0,18116,,,,,21.300,40220
31,118.0,19126,,,,,22.200,41561
32,119.0,20640,,,,,47.300,42911
33,118.0,21142,,,,,23.500,44254
34,107.0,21650,,,,,49.000,45593
35,117.0,22148,,,,,45.100,46929
36,119.0,22654,,,,,48.100,48266
37,117.0,23164,,,,,46.700,49604
38,118.0,23667,,,,,14.600,50934
39,119.0,24675,,,,,24.200,52280
40,116.0,25185,,,,,23.800,53622
41,115.0,25689,,,,,46.900,54966
42,120.0,26188,,,,,41.800,56300
43,116.0,27188,,,,,42.900,57634
44,118.0,27688,,,,,44.000,58976
45,120.0,28695,,,,,,
46,118.0,29702,,,,,,
47,120.0,30202,,,,,,
48,118.0,31210,,,,,,
49,120.0,32711,,,,,,
50,118.0,33211,,,,,,
51,117.0,33711,,,,,,
52,119.0,34211,,,,,,
53,118.0,34711,,,,,,
54,120.0,35711,,,,,,
55,115.0,36214,,,,,,
56,120.0,36716,,,,,,
57,116.0,37723,,,,,,
58,120.0,38223,,,,,,
59,115.0,39230,,,,,,
60,119.0,39729,,,,,,
61,118.0,40241,,,,,,
62,120.0,41251,,,,,,
63,117.0,41751,,,,,,
64,119.0,42256,,,,,,
65,120.0,42756,,,,,,
66,116.0,43256,,,,,,
67,120.0,43756,,,,,,
68,118.0,44266,,,,,,
69,117.0,44764,,,,,,
70,120.0,45263,,,,,,
71,118.0,45764,,,,,,
72,120.0,46264,,,,,,
73,115.0,47271,,,,,,
74,120.0,47770,,,,,,
75,118.0,48276,,,,,,
76,117.0,48777,,,,,,
77,120.0,49279,,,,,,
78,117.0,49778,,,,,,
79,119.0,50277,,,,,,
80,120.0,50785,,,,,,
81,117.0,51293,,,,,,
82,119.0,51791,,,,,,
83,117.0,52303,,,,,,
84,119.0,52805,,,,,,
85,120.0,53305,,,,,,
86,112.0,53806,,,,,,
87,120.0,54305,,,,,,
88,117.0,55332,,,,,,
89,119.0,55833,,,,,,
90,118.0,56334,,,,,,
91,119.0,56839,,,,,,
92,118.0,57846,,,,,,
93,120.0,58853,,,,,,
94,116.0,59367,,,,,,
95,119.0,59867,,,,,,
