# Aggregate summary for config: baseline
# Runs: 10
# Exported: 2026-06-06T23:40:25.095Z
#
Run,FPS_Avg,FPS_Min,FPS_Max,Render_Avg_ms,TextureGen_Avg_ms,ChunkGen_Avg_ms,TexturesGenerated,ChunksGenerated,Duration_s
1,118.6,115,120,34.776,0.000,0.047,0,15,60.0
2,118.0,106,120,34.638,0.000,0.043,0,7,60.0
3,118.6,107,120,36.240,0.000,0.050,0,4,60.0
4,118.7,114,120,38.407,0.000,0.040,0,5,60.0
5,117.8,107,120,31.789,0.000,0.050,0,10,60.0
6,117.7,113,120,31.191,0.000,0.067,0,3,60.0
7,118.4,108,120,35.698,0.000,0.050,0,12,60.0
8,118.7,112,120,35.713,0.000,0.050,0,6,60.0
9,118.5,107,120,34.518,0.000,0.046,0,13,60.0
10,118.7,114,120,36.284,0.000,0.043,0,7,60.0
AVERAGE,118.4,110,120,34.925,0.000,0.049,0,8,60.0
