# Recording: reproducibility-run
# Run: 9 of 10
# Exported: 2026-06-07T02:06:20.693Z
# Duration: 60.0 s
# World Seed: 99999
# View Distance: 3
# Terrain Quality: 32 segments
# Texture Reuse Rate: 3
# Terrain Algorithm: none
# Terrain Shader Seed: N/A
# Camera Height: 50
# Camera Distance: 60
# Camera Azimuth: 0.0000 rad
# Camera Polar: 1.0472 rad
#
# --- Summary (avg / min / max) ---
# FPS: 118.5 / 103 / 120
# Render ms: 32.487 / 12.600 / 64.600
# TextureGen ms: 0.000 / 0.000 / 0.000
# ChunkGen ms: 0.050 / 0.000 / 0.100
# Total Textures Generated: 0
# Total Chunks Generated: 10
#
# Object Slots:
#   tree/0: algorithm=none seed=N/A
#   tree/1: algorithm=none seed=N/A
#   pine/0: algorithm=none seed=N/A
#   pine/1: algorithm=none seed=N/A
#   rock/0: algorithm=none seed=N/A
#   rock/1: algorithm=none seed=N/A
#   cactus/0: algorithm=none seed=N/A
#   cactus/1: algorithm=none seed=N/A
#   bush/0: algorithm=none seed=N/A
#   bush/1: algorithm=none seed=N/A
#
Sample,FPS,FPS_Timestamp_ms,TextureGen_ms,TextureGen_Timestamp_ms,ChunkGen_ms,ChunkGen_Timestamp_ms,Render_ms,Render_Timestamp_ms
0,118.0,192,,,0.000,192,64.600,237
1,116.0,681,,,0.100,2708,37.000,1381
2,120.0,1181,,,0.000,4051,12.600,2708
3,118.0,1680,,,0.100,24076,39.700,4051
4,120.0,2182,,,0.000,25403,32.400,5384
5,118.0,3181,,,0.100,32081,32.200,6716
6,120.0,3688,,,0.000,33416,33.000,8050
7,119.0,4188,,,0.100,42753,39.700,9390
8,120.0,4695,,,0.000,44093,40.100,10724
9,118.0,5694,,,0.100,58803,13.300,12056
10,120.0,6202,,,,,32.900,13391
11,119.0,6716,,,,,13.000,14721
12,120.0,7216,,,,,12.900,16055
13,118.0,8222,,,,,39.400,17397
14,120.0,8722,,,,,32.000,18729
15,118.0,9723,,,,,31.200,20063
16,119.0,10223,,,,,33.000,21404
17,118.0,10733,,,,,37.600,22744
18,120.0,11236,,,,,38.800,24076
19,119.0,12237,,,,,32.500,25403
20,120.0,12736,,,,,36.700,26743
21,118.0,13744,,,,,36.600,28067
22,120.0,14250,,,,,35.700,29413
23,118.0,14751,,,,,37.600,30744
24,120.0,15250,,,,,36.700,32081
25,118.0,16256,,,,,39.000,33416
26,120.0,16757,,,,,13.000,34743
27,118.0,17757,,,,,35.300,36079
28,120.0,18257,,,,,37.800,37415
29,119.0,18757,,,,,13.600,38745
30,120.0,19257,,,,,13.400,40074
31,119.0,20270,,,,,43.500,41421
32,120.0,20770,,,,,42.200,42753
33,118.0,21770,,,,,42.700,44093
34,120.0,22270,,,,,35.700,45426
35,118.0,22770,,,,,48.500,46773
36,120.0,23271,,,,,21.400,48108
37,118.0,24277,,,,,19.500,49444
38,120.0,24784,,,,,42.800,50787
39,118.0,25791,,,,,21.400,52131
40,119.0,26292,,,,,34.300,53459
41,118.0,26799,,,,,42.500,54801
42,120.0,27299,,,,,36.600,56134
43,119.0,28304,,,,,33.300,57465
44,118.0,28804,,,,,14.200,58803
45,119.0,29304,,,,,,
46,118.0,29804,,,,,,
47,120.0,30304,,,,,,
48,118.0,30812,,,,,,
49,120.0,31318,,,,,,
50,118.0,32318,,,,,,
51,120.0,32827,,,,,,
52,119.0,33317,,,,,,
53,118.0,33818,,,,,,
54,120.0,34324,,,,,,
55,118.0,34826,,,,,,
56,119.0,35333,,,,,,
57,120.0,35838,,,,,,
58,118.0,36339,,,,,,
59,120.0,36840,,,,,,
60,119.0,37341,,,,,,
61,118.0,37846,,,,,,
62,120.0,38345,,,,,,
63,118.0,38846,,,,,,
64,120.0,39346,,,,,,
65,117.0,40345,,,,,,
66,120.0,40846,,,,,,
67,118.0,41845,,,,,,
68,120.0,42346,,,,,,
69,118.0,42845,,,,,,
70,120.0,43352,,,,,,
71,119.0,43853,,,,,,
72,118.0,44352,,,,,,
73,119.0,44852,,,,,,
74,118.0,45359,,,,,,
75,117.0,45859,,,,,,
76,120.0,46359,,,,,,
77,118.0,46866,,,,,,
78,117.0,47377,,,,,,
79,119.0,47872,,,,,,
80,107.0,48373,,,,,,
81,116.0,48872,,,,,,
82,120.0,49372,,,,,,
83,117.0,49873,,,,,,
84,120.0,50372,,,,,,
85,118.0,50872,,,,,,
86,120.0,51373,,,,,,
87,118.0,52373,,,,,,
88,120.0,52880,,,,,,
89,118.0,53387,,,,,,
90,116.0,53887,,,,,,
91,120.0,54387,,,,,,
92,116.0,54887,,,,,,
93,120.0,55387,,,,,,
94,117.0,55912,,,,,,
95,103.0,56413,,,,,,
96,119.0,56916,,,,,,
97,118.0,57421,,,,,,
98,119.0,59429,,,,,,
