# Aggregate summary for config: reproducibility-run
# Runs: 10
# Exported: 2026-06-07T02:06:20.693Z
#
Run,FPS_Avg,FPS_Min,FPS_Max,Render_Avg_ms,TextureGen_Avg_ms,ChunkGen_Avg_ms,TexturesGenerated,ChunksGenerated,Duration_s
1,117.6,106,120,31.132,0.000,0.043,0,7,60.3
2,0.0,0,0,0.000,0.000,0.000,0,1,108.0
3,118.4,115,120,33.851,0.000,0.045,0,11,60.0
4,118.9,110,120,29.896,0.000,0.043,0,7,60.0
5,118.9,116,120,30.469,0.000,0.044,0,9,60.0
6,118.9,111,120,30.002,0.000,0.046,0,13,60.0
7,119.0,116,120,33.480,0.000,0.044,0,9,60.0
8,118.9,110,120,29.844,0.000,0.044,0,9,60.0
9,118.5,103,120,32.487,0.000,0.050,0,10,60.0
10,118.5,103,120,32.062,0.000,0.040,0,5,60.0
AVERAGE,106.8,99,108,28.322,0.000,0.040,0,8,64.8
