config_type,avg_fps_mean,avg_fps_std,min_fps_mean,min_fps_std,max_fps_mean,max_fps_std,avg_render_ms_mean,avg_render_ms_std,avg_texture_gen_ms_mean,avg_texture_gen_ms_std,avg_chunk_gen_ms_mean,avg_chunk_gen_ms_std,total_textures_generated_mean,total_textures_generated_std,total_chunks_generated_mean,total_chunks_generated_std
0-reuse,109.22140302029686,4.88851827060839,22.9,1.9692073983655909,117.7,0.4830458915396454,217.09207168954282,48.86870098058687,9.526103684557473,0.307837209441904,0.046051282051282054,0.005401366789235594,38.7,1.5670212364724216,9.0,3.8586123009300746
25-reuse,106.66425286981949,6.7778611754086855,75.0,14.168627315304754,119.88888888888889,0.3333333333333348,82.33643097643098,12.630778184565639,7.151726125295893,2.207513603019142,0.05390572390572391,0.021701662303144492,35.9,14.601750275604326,6.9,3.178049716414141
50-reuse,118.5765419420535,0.10846794031396516,93.6,12.0756872360219,120.0,0.0,61.43690404040403,5.337063267834709,6.272639468208101,0.3047373264179658,0.047732267732267734,0.00563785593977067,41.9,1.4491376746189448,9.8,4.541169697580373
baseline,118.3615162998527,0.3644031590275882,110.3,3.5916569992135945,120.0,0.0,34.925348484848485,2.133510541952783,,,0.04852014652014652,0.007331991857646558,0.0,0.0,8.2,4.077035960378841
high-quality,112.53384101065595,1.0635708521753833,88.4,7.026932316294058,119.0,0.0,55.31967183462532,10.282985299560433,,,0.045932178932178935,0.003958575221201427,0.0,0.0,10.3,2.9832867780352594
low-quality,116.26931593817093,5.931362193028944,109.8,12.05358406818855,120.0,0.0,23.738101010101012,2.450344731765866,,,0.04898360463066346,0.012376941713299316,0.0,0.0,11.4,4.376706016578627
perlin,116.42703852711102,0.27696237010205754,94.1,3.9001424475410014,120.0,0.0,121.56145454545454,9.979131282620632,1.3117922984314663,0.027099795163303592,0.04585858585858586,0.003353784261357088,35.8,2.6997942308422114,10.8,3.9384147967311813
vd-1,109.1649852528888,6.759162171583696,102.9,8.089087299153926,116.5,4.994441354590564,26.552275663612875,2.0504515726458923,,,0.046497835497835496,0.00540772927708596,0.0,0.0,9.5,3.1710495984067415
vd-3,101.27284369169722,8.841539008034554,88.0,9.404490653110594,116.6,5.521674464226304,40.440444444444445,4.344472646809411,,,0.04453846153846154,0.01728851598492945,0.0,0.0,9.9,3.8715486421958962
vd-5,88.32072561093196,9.889552433752735,65.6,13.259797216481942,113.5,5.835713800003867,52.60271212121212,5.3665169996032835,,,0.04416083916083917,0.016311196098171967,0.0,0.0,9.5,4.034572812303401
worley,112.44242992481372,1.298341823522839,26.2,16.484335999163974,118.1,0.3162277660168401,364.8504246999613,21.67310748245152,4.715751760548362,0.03436209954810408,0.045901098901098905,0.003358357883938828,39.0,2.0000000000000004,10.1,3.2472210341220142
