# base_algorithm,wood
# population_size,15
# initial_mutation_rate,0.15
# max_iterations,150
# output_size,128
# generations_completed,150
# total_evaluations,2250
# runtime_s,72.255
# final_best_fitness,0.865452
generation,cumulative_evaluations,elapsed_ms,elapsed_s,best_fitness,best_ever_fitness,mean_fitness,worst_fitness,std_fitness,mutation_rate,best_comp_mean,best_comp_variance,best_comp_gradient_dir,best_comp_edge_density,best_comp_histogram
1,15,445.00,0.4450,0.841300,0.841300,0.783326,0.712607,0.038597,0.150000,0.956982,0.995562,0.964327,0.514404,0.720154
2,30,920.00,0.9200,0.852152,0.852152,0.830069,0.791855,0.015153,0.150000,0.948845,0.995571,0.962482,0.514404,0.804932
3,45,1392.00,1.3920,0.859287,0.859287,0.837382,0.809911,0.013990,0.150000,0.948965,0.995580,0.982813,0.514404,0.804932
4,60,1877.00,1.8770,0.864153,0.864153,0.851887,0.823224,0.009977,0.150000,0.950122,0.995570,0.996224,0.514404,0.804932
5,75,2349.00,2.3490,0.864153,0.864153,0.857497,0.836540,0.006139,0.150000,0.950122,0.995570,0.996224,0.514404,0.804932
6,90,2826.00,2.8260,0.865268,0.865268,0.857834,0.831575,0.008316,0.150000,0.949349,0.995572,0.999742,0.514404,0.804932
7,105,3299.00,3.2990,0.865268,0.865268,0.857996,0.837906,0.008709,0.150000,0.949349,0.995572,0.999742,0.514404,0.804932
8,120,3776.00,3.7760,0.865268,0.865268,0.863587,0.848695,0.004079,0.150000,0.949349,0.995572,0.999742,0.514404,0.804932
9,135,4245.00,4.2450,0.865268,0.865268,0.856123,0.783781,0.020352,0.150000,0.949349,0.995572,0.999742,0.514404,0.804932
10,150,4724.00,4.7240,0.865268,0.865268,0.861401,0.844992,0.006364,0.150000,0.949349,0.995572,0.999742,0.514404,0.804932
11,165,5192.00,5.1920,0.865268,0.865268,0.861241,0.840395,0.007681,0.150000,0.949349,0.995572,0.999742,0.514404,0.804932
12,180,5665.00,5.6650,0.865268,0.865268,0.858148,0.829309,0.010092,0.150000,0.949349,0.995572,0.999742,0.514404,0.804932
13,195,6142.00,6.1420,0.865297,0.865297,0.859570,0.843736,0.007674,0.150000,0.949398,0.995572,0.999803,0.514404,0.804932
