# base_algorithm,wood
# population_size,10
# initial_mutation_rate,0.2
# max_iterations,50
# output_size,128
# generations_completed,50
# total_evaluations,500
# runtime_s,16.289
# final_best_fitness,0.868825
generation,cumulative_evaluations,elapsed_ms,elapsed_s,best_fitness,best_ever_fitness,mean_fitness,worst_fitness,std_fitness,mutation_rate,best_comp_mean,best_comp_variance,best_comp_gradient_dir,best_comp_edge_density,best_comp_histogram
1,10,312.00,0.3120,0.817956,0.817956,0.769750,0.711514,0.038493,0.200000,0.991794,0.995927,0.915041,0.514404,0.644348
2,20,633.00,0.6330,0.853921,0.853921,0.824908,0.796192,0.019043,0.200000,0.974049,0.996181,0.987557,0.514526,0.732239
3,30,961.00,0.9610,0.863262,0.863262,0.850306,0.838742,0.008151,0.200000,0.961080,0.996320,0.988311,0.515015,0.804932
4,40,1283.00,1.2830,0.863262,0.863262,0.860410,0.856259,0.002166,0.200000,0.961080,0.996320,0.988311,0.515015,0.804932
5,50,1601.00,1.6010,0.867848,0.867848,0.862055,0.854215,0.003824,0.200000,0.967900,0.996402,0.999678,0.514526,0.802734
6,60,1928.00,1.9280,0.867848,0.867848,0.864357,0.859427,0.002477,0.200000,0.967900,0.996402,0.999678,0.514526,0.802734
7,70,2250.00,2.2500,0.867848,0.867848,0.859590,0.838140,0.009542,0.200000,0.967900,0.996402,0.999678,0.514526,0.802734
8,80,2572.00,2.5720,0.867848,0.867848,0.864066,0.853993,0.003723,0.200000,0.967900,0.996402,0.999678,0.514526,0.802734
9,90,2895.00,2.8950,0.867848,0.867848,0.859207,0.842282,0.008105,0.200000,0.967900,0.996402,0.999678,0.514526,0.802734
10,100,3223.00,3.2230,0.867848,0.867848,0.863422,0.857952,0.003779,0.200000,0.967900,0.996402,0.999678,0.514526,0.802734
11,110,3550.00,3.5500,0.867848,0.867848,0.858212,0.827854,0.012308,0.200000,0.967900,0.996402,0.999678,0.514526,0.802734
12,120,3882.00,3.8820,0.867848,0.867848,0.862601,0.843722,0.006941,0.200000,0.967900,0.996402,0.999678,0.514526,0.802734
13,130,4205.00,4.2050,0.867848,0.867848,0.861341,0.842387,0.007908,0.200000,0.967900,0.996402,0.999678,0.514526,0.802734
14,140,4527.00,4.5270,0.867848,0.867848,0.858510,0.827908,0.013124,0.200000,0.967900,0.996402,0.999678,0.514526,0.802734
15,150,4848.00,4.8480,0.867904,0.867904,0.860777,0.829636,0.010995,0.200000,0.967803,0.996400,0.998939,0.514526,0.804932
16,160,5176.00,5.1760,0.867904,0.867904,0.856899,0.845982,0.008312,0.200000,0.967803,0.996400,0.998939,0.514526,0.804932
17,170,5502.00,5.5020,0.867904,0.867904,0.864073,0.854125,0.004159,0.200000,0.967803,0.996400,0.998939,0.514526,0.804932
18,180,5822.00,5.8220,0.867904,0.867904,0.863662,0.854881,0.004270,0.200000,0.967803,0.996400,0.998939,0.514526,0.804932
19,190,6141.00,6.1410,0.868039,0.868039,0.865968,0.859164,0.002601,0.200000,0.967742,0.996429,0.999337,0.514526,0.804932
20,200,6470.00,6.4700,0.868039,0.868039,0.859763,0.849465,0.007987,0.200000,0.967742,0.996429,0.999337,0.514526,0.804932
21,210,6790.00,6.7900,0.868187,0.868187,0.862909,0.854464,0.005495,0.200000,0.967700,0.996442,0.999774,0.514526,0.804932
22,220,7124.00,7.1240,0.868187,0.868187,0.866595,0.859850,0.002544,0.200000,0.967700,0.996442,0.999774,0.514526,0.804932
