# base_algorithm,wood
# population_size,15
# initial_mutation_rate,0.35
# max_iterations,150
# output_size,128
# generations_completed,150
# total_evaluations,2250
# runtime_s,71.866
# final_best_fitness,0.912050
generation,cumulative_evaluations,elapsed_ms,elapsed_s,best_fitness,best_ever_fitness,mean_fitness,worst_fitness,std_fitness,mutation_rate,best_comp_mean,best_comp_variance,best_comp_gradient_dir,best_comp_edge_density,best_comp_histogram
1,15,448.00,0.4480,0.841009,0.841009,0.783913,0.692297,0.050311,0.350000,0.977443,0.995672,0.992060,0.514404,0.632935
2,30,925.00,0.9250,0.865545,0.865545,0.830155,0.769988,0.019807,0.350000,0.956153,0.995794,0.997032,0.515259,0.804932
3,45,1464.00,1.4640,0.866228,0.866228,0.844435,0.822551,0.011641,0.350000,0.956191,0.995794,0.999003,0.515198,0.804932
4,60,1946.00,1.9460,0.866228,0.866228,0.845080,0.809467,0.016534,0.350000,0.956191,0.995794,0.999003,0.515198,0.804932
5,75,2425.00,2.4250,0.866228,0.866228,0.850882,0.817932,0.014187,0.350000,0.956191,0.995794,0.999003,0.515198,0.804932
6,90,2906.00,2.9060,0.866228,0.866228,0.849675,0.830003,0.012806,0.350000,0.956191,0.995794,0.999003,0.515198,0.804932
7,105,3384.00,3.3840,0.866228,0.866228,0.856474,0.828354,0.010574,0.350000,0.956191,0.995794,0.999003,0.515198,0.804932
8,120,3863.00,3.8630,0.866286,0.866286,0.853513,0.816333,0.014107,0.350000,0.956151,0.995775,0.999473,0.514709,0.804932
9,135,4356.00,4.3560,0.866286,0.866286,0.853761,0.838699,0.010684,0.350000,0.956151,0.995775,0.999473,0.514709,0.804932
10,150,4831.00,4.8310,0.866286,0.866286,0.853336,0.816334,0.014349,0.350000,0.956151,0.995775,0.999473,0.514709,0.804932
11,165,5309.00,5.3090,0.866532,0.866532,0.849171,0.814238,0.018564,0.350000,0.955454,0.995907,0.999791,0.515808,0.804932
12,180,5784.00,5.7840,0.866532,0.866532,0.853774,0.826711,0.013020,0.350000,0.955454,0.995907,0.999791,0.515808,0.804932
13,195,6261.00,6.2610,0.866532,0.866532,0.856032,0.809744,0.015309,0.350000,0.955454,0.995907,0.999791,0.515808,0.804932
14,210,6732.00,6.7320,0.866532,0.866532,0.851370,0.814726,0.015798,0.350000,0.955454,0.995907,0.999791,0.515808,0.804932
15,225,7205.00,7.2050,0.866532,0.866532,0.852833,0.817969,0.014866,0.350000,0.955454,0.995907,0.999791,0.515808,0.804932
16,240,7686.00,7.6860,0.866532,0.866532,0.856897,0.805425,0.014954,0.350000,0.955454,0.995907,0.999791,0.515808,0.804932
17,255,8168.00,8.1680,0.866532,0.866532,0.858206,0.849194,0.005205,0.350000,0.955454,0.995907,0.999791,0.515808,0.804932
18,270,8650.00,8.6500,0.866532,0.866532,0.855259,0.838230,0.009748,0.350000,0.955454,0.995907,0.999791,0.515808,0.804932
19,285,9124.00,9.1240,0.866532,0.866532,0.857889,0.844890,0.006584,0.350000,0.955454,0.995907,0.999791,0.515808,0.804932
20,300,9599.00,9.5990,0.866767,0.866767,0.856377,0.823867,0.012339,0.350000,0.961332,0.996043,0.996245,0.518677,0.804932
21,315,10079.00,10.0790,0.866767,0.866767,0.854661,0.824882,0.010460,0.350000,0.961332,0.996043,0.996245,0.518677,0.804932
22,330,10561.00,10.5610,0.866767,0.866767,0.849272,0.817182,0.013892,0.350000,0.961332,0.996043,0.996245,0.518677,0.804932
23,345,11042.00,11.0420,0.866767,0.866767,0.853498,0.825641,0.012378,0.350000,0.961332,0.996043,0.996245,0.518677,0.804932
24,360,11519.00,11.5190,0.866767,0.866767,0.849949,0.800866,0.018364,0.350000,0.961332,0.996043,0.996245,0.518677,0.804932
25,375,12002.00,12.0020,0.867073,0.867073,0.854053,0.825801,0.012380,0.350000,0.952852,0.996054,0.998168,0.523193,0.804932
26,390,12486.00,12.4860,0.867866,0.867866,0.854363,0.830132,0.013210,0.350000,0.962262,0.996124,0.996337,0.523254,0.804932
27,405,12962.00,12.9620,0.868475,0.868475,0.859772,0.844390,0.007838,0.350000,0.962538,0.996206,0.993841,0.530396,0.804932
28,420,13435.00,13.4350,0.868475,0.868475,0.853036,0.825140,0.012979,0.350000,0.962538,0.996206,0.993841,0.530396,0.804932
29,435,13911.00,13.9110,0.868475,0.868475,0.853566,0.790210,0.020927,0.350000,0.962538,0.996206,0.993841,0.530396,0.804932
30,450,14409.00,14.4090,0.869531,0.869531,0.858936,0.841954,0.008579,0.350000,0.958381,0.996227,0.998387,0.530823,0.804932
31,465,14885.00,14.8850,0.869531,0.869531,0.856033,0.822509,0.013627,0.350000,0.958381,0.996227,0.998387,0.530823,0.804932
32,480,15364.00,15.3640,0.869783,0.869783,0.861206,0.833002,0.010805,0.350000,0.957255,0.996279,0.996080,0.536926,0.804932
33,495,15838.00,15.8380,0.870869,0.870869,0.859847,0.835463,0.011685,0.350000,0.962406,0.996271,0.994154,0.541870,0.804932
34,510,16312.00,16.3120,0.870899,0.870899,0.864250,0.845687,0.006917,0.350000,0.956465,0.996336,0.997037,0.541382,0.804932
35,525,16790.00,16.7900,0.870899,0.870899,0.860108,0.839809,0.009069,0.350000,0.956465,0.996336,0.997037,0.541382,0.804932
36,540,17267.00,17.2670,0.871840,0.871840,0.865567,0.853040,0.006342,0.350000,0.955977,0.996285,0.997199,0.546204,0.804932
37,555,17733.00,17.7330,0.871840,0.871840,0.863463,0.847669,0.007792,0.350000,0.955977,0.996285,0.997199,0.546204,0.804932
38,570,18206.00,18.2060,0.877474,0.877474,0.860338,0.839798,0.013389,0.350000,0.967538,0.996478,0.999681,0.561218,0.804932
39,585,18672.00,18.6720,0.877474,0.877474,0.865520,0.841156,0.009016,0.350000,0.967538,0.996478,0.999681,0.561218,0.804932
40,600,19146.00,19.1460,0.877474,0.877474,0.859295,0.814007,0.014537,0.350000,0.967538,0.996478,0.999681,0.561218,0.804932
41,615,19618.00,19.6180,0.878555,0.878555,0.862925,0.835075,0.013227,0.350000,0.964032,0.996495,0.995196,0.577087,0.804932
42,630,20110.00,20.1100,0.885307,0.885307,0.870472,0.852441,0.008736,0.350000,0.972167,0.996636,0.998725,0.599243,0.803894
43,645,20586.00,20.5860,0.885307,0.885307,0.869702,0.843319,0.010803,0.350000,0.972167,0.996636,0.998725,0.599243,0.803894
