# base_algorithm,wood
# population_size,25
# initial_mutation_rate,0.2
# max_iterations,300
# output_size,128
# generations_completed,300
# total_evaluations,7500
# runtime_s,231.473
# final_best_fitness,0.912175
generation,cumulative_evaluations,elapsed_ms,elapsed_s,best_fitness,best_ever_fitness,mean_fitness,worst_fitness,std_fitness,mutation_rate,best_comp_mean,best_comp_variance,best_comp_gradient_dir,best_comp_edge_density,best_comp_histogram
1,25,732.00,0.7320,0.845847,0.845847,0.774075,0.699907,0.045915,0.200000,0.958052,0.996281,0.927244,0.537109,0.804932
2,50,1514.00,1.5140,0.854043,0.854043,0.832562,0.808787,0.011093,0.200000,0.958543,0.996406,0.943526,0.549133,0.804932
3,75,2317.00,2.3170,0.864318,0.864318,0.842634,0.808625,0.014873,0.200000,0.967528,0.996374,0.983556,0.523743,0.804932
4,100,3087.00,3.0870,0.870009,0.870009,0.855966,0.835956,0.008922,0.200000,0.967643,0.996509,0.996430,0.529480,0.804932
5,125,3854.00,3.8540,0.870120,0.870120,0.861686,0.837370,0.007314,0.200000,0.955955,0.996600,0.990243,0.549561,0.804932
6,150,4624.00,4.6240,0.874883,0.874883,0.864833,0.846704,0.007279,0.200000,0.953437,0.996735,0.999502,0.558960,0.804932
7,175,5396.00,5.3960,0.874883,0.874883,0.869474,0.854893,0.005035,0.200000,0.953437,0.996735,0.999502,0.558960,0.804932
8,200,6166.00,6.1660,0.878422,0.878422,0.868709,0.850224,0.007265,0.200000,0.960626,0.996830,0.997754,0.574158,0.805054
9,225,6940.00,6.9400,0.879860,0.879860,0.871888,0.843162,0.008570,0.200000,0.961086,0.996853,0.996040,0.583984,0.805054
10,250,7697.00,7.6970,0.881407,0.881407,0.876347,0.855195,0.006244,0.200000,0.959668,0.996825,0.998865,0.587952,0.804932
11,275,8460.00,8.4600,0.883531,0.883531,0.876571,0.850480,0.007578,0.200000,0.967250,0.996932,0.999687,0.591370,0.804932
12,300,9224.00,9.2240,0.885574,0.885574,0.877905,0.864114,0.006096,0.200000,0.959875,0.996913,0.999730,0.607056,0.804932
13,325,9998.00,9.9980,0.887550,0.887550,0.880456,0.863395,0.005382,0.200000,0.963690,0.996932,0.997802,0.617432,0.804932
14,350,10766.00,10.7660,0.888479,0.888479,0.879729,0.862139,0.007388,0.200000,0.961699,0.996972,0.999130,0.621216,0.804932
15,375,11539.00,11.5390,0.893014,0.893014,0.880036,0.841519,0.010931,0.200000,0.966182,0.996986,0.998649,0.641357,0.804932
16,400,12337.00,12.3370,0.894720,0.894720,0.886203,0.865471,0.007046,0.200000,0.966174,0.997041,0.998622,0.649902,0.804932
17,425,13122.00,13.1220,0.896796,0.896796,0.888887,0.868076,0.006771,0.200000,0.968441,0.997071,0.999566,0.655579,0.806702
18,450,13911.00,13.9110,0.898946,0.898946,0.889823,0.869905,0.006862,0.200000,0.964505,0.997165,0.999761,0.669006,0.806519
19,475,14683.00,14.6830,0.900153,0.900153,0.892446,0.875913,0.005957,0.200000,0.966676,0.997198,0.998352,0.675903,0.806458
20,500,15510.00,15.5100,0.901710,0.901710,0.893483,0.874359,0.007327,0.200000,0.957288,0.997301,0.993141,0.700684,0.805237
21,525,16293.00,16.2930,0.902140,0.902140,0.895287,0.876773,0.006227,0.200000,0.961220,0.997273,0.998809,0.689026,0.806519
22,550,17065.00,17.0650,0.903810,0.903810,0.895278,0.870452,0.009583,0.200000,0.959999,0.997309,0.997646,0.700256,0.806580
23,575,17836.00,17.8360,0.904620,0.904620,0.896874,0.882233,0.006341,0.200000,0.956378,0.997305,0.997719,0.708130,0.804932
24,600,18607.00,18.6070,0.904662,0.904662,0.894143,0.875129,0.009660,0.200000,0.954735,0.997450,0.997767,0.724121,0.785278
25,625,19375.00,19.3750,0.905376,0.905376,0.897109,0.878279,0.007578,0.200000,0.956163,0.997351,0.998278,0.711060,0.804932
26,650,20148.00,20.1480,0.905968,0.905968,0.900576,0.892391,0.004132,0.200000,0.957156,0.997406,0.999030,0.711914,0.804932
27,675,20919.00,20.9190,0.906355,0.906355,0.898855,0.872226,0.007428,0.200000,0.962585,0.997336,0.997657,0.710999,0.806580
28,700,21702.00,21.7020,0.908066,0.908066,0.900722,0.880247,0.007180,0.200000,0.957679,0.997408,0.998139,0.722656,0.806152
29,725,22467.00,22.4670,0.908230,0.908230,0.901033,0.874016,0.007980,0.200000,0.959041,0.997398,0.999911,0.719177,0.806396
30,750,23286.00,23.2860,0.908230,0.908230,0.898089,0.873990,0.010616,0.200000,0.959041,0.997398,0.999911,0.719177,0.806396
