# base_algorithm,wood
# population_size,15
# initial_mutation_rate,0.05
# max_iterations,150
# output_size,128
# generations_completed,150
# total_evaluations,2250
# runtime_s,71.024
# final_best_fitness,0.913545
generation,cumulative_evaluations,elapsed_ms,elapsed_s,best_fitness,best_ever_fitness,mean_fitness,worst_fitness,std_fitness,mutation_rate,best_comp_mean,best_comp_variance,best_comp_gradient_dir,best_comp_edge_density,best_comp_histogram
1,15,438.00,0.4380,0.852005,0.852005,0.784554,0.700205,0.044094,0.050000,0.985690,0.996241,0.997899,0.519043,0.677612
2,30,920.00,0.9200,0.863759,0.863759,0.840941,0.813734,0.012778,0.050000,0.962532,0.996123,0.985427,0.522888,0.803223
3,45,1398.00,1.3980,0.863759,0.863759,0.856838,0.847683,0.004227,0.050000,0.962532,0.996123,0.985427,0.522888,0.803223
4,60,1878.00,1.8780,0.868045,0.868045,0.864420,0.861640,0.001777,0.050000,0.960375,0.996104,0.999373,0.520264,0.804932
5,75,2366.00,2.3660,0.868576,0.868576,0.864996,0.854040,0.003984,0.050000,0.963603,0.996176,0.998500,0.521973,0.804932
6,90,2841.00,2.8410,0.869104,0.869104,0.866553,0.856818,0.002981,0.050000,0.963052,0.996160,0.999310,0.523621,0.804932
7,105,3315.00,3.3150,0.869463,0.869463,0.867635,0.861633,0.002189,0.050000,0.963253,0.996204,0.999777,0.524414,0.804932
8,120,3804.00,3.8040,0.869463,0.869463,0.868030,0.858335,0.002903,0.050000,0.963253,0.996204,0.999777,0.524414,0.804932
9,135,4273.00,4.2730,0.869463,0.869463,0.867199,0.847943,0.005286,0.050000,0.963253,0.996204,0.999777,0.524414,0.804932
10,150,4743.00,4.7430,0.869463,0.869463,0.867985,0.852797,0.004266,0.050000,0.963253,0.996204,0.999777,0.524414,0.804932
11,165,5209.00,5.2090,0.869463,0.869463,0.868471,0.860706,0.002221,0.050000,0.963253,0.996204,0.999777,0.524414,0.804932
12,180,5680.00,5.6800,0.869463,0.869463,0.868198,0.861422,0.002143,0.050000,0.963253,0.996204,0.999777,0.524414,0.804932
13,195,6155.00,6.1550,0.869569,0.869569,0.867425,0.848142,0.005326,0.050000,0.963248,0.996202,0.999212,0.525940,0.804932
14,210,6634.00,6.6340,0.869569,0.869569,0.867366,0.848643,0.005094,0.050000,0.963248,0.996202,0.999212,0.525940,0.804932
15,225,7106.00,7.1060,0.869569,0.869569,0.866212,0.850352,0.005757,0.050000,0.963248,0.996202,0.999212,0.525940,0.804932
16,240,7572.00,7.5720,0.869613,0.869613,0.868701,0.865948,0.001460,0.050000,0.962518,0.996203,0.999370,0.526428,0.804932
17,255,8046.00,8.0460,0.869613,0.869613,0.866207,0.851479,0.005773,0.050000,0.962518,0.996203,0.999370,0.526428,0.804932
18,270,8515.00,8.5150,0.869613,0.869613,0.868981,0.866593,0.000963,0.050000,0.962518,0.996203,0.999370,0.526428,0.804932
19,285,8990.00,8.9900,0.870035,0.870035,0.867312,0.855498,0.004718,0.050000,0.962602,0.996226,0.997110,0.532410,0.804932
20,300,9460.00,9.4600,0.870752,0.870752,0.866442,0.842665,0.008037,0.050000,0.961803,0.996219,0.999019,0.533264,0.804932
21,315,9935.00,9.9350,0.870752,0.870752,0.869488,0.866102,0.001477,0.050000,0.961803,0.996219,0.999019,0.533264,0.804932
22,330,10405.00,10.4050,0.870935,0.870935,0.864846,0.842421,0.009867,0.050000,0.962157,0.996236,0.998683,0.534485,0.804932
23,345,10877.00,10.8770,0.871245,0.871245,0.870700,0.869726,0.000347,0.050000,0.962175,0.996230,0.999634,0.534363,0.804932
24,360,11382.00,11.3820,0.871245,0.871245,0.869880,0.864199,0.002392,0.050000,0.962175,0.996230,0.999634,0.534363,0.804932
25,375,11851.00,11.8510,0.871248,0.871248,0.869529,0.864625,0.001928,0.050000,0.962136,0.996230,0.999693,0.534302,0.804932
26,390,12321.00,12.3210,0.871248,0.871248,0.871132,0.870378,0.000290,0.050000,0.962136,0.996230,0.999693,0.534302,0.804932
27,405,12795.00,12.7950,0.871248,0.871248,0.867629,0.841524,0.008246,0.050000,0.962136,0.996230,0.999693,0.534302,0.804932
28,420,13265.00,13.2650,0.871273,0.871273,0.870933,0.869006,0.000661,0.050000,0.962271,0.996256,0.998581,0.536255,0.804932
29,435,13737.00,13.7370,0.871322,0.871322,0.869953,0.862092,0.002658,0.050000,0.962220,0.996244,0.999270,0.535339,0.804932
30,450,14211.00,14.2110,0.871434,0.871434,0.870788,0.867731,0.001158,0.050000,0.962172,0.996236,0.999964,0.534729,0.804932
31,465,14675.00,14.6750,0.871434,0.871434,0.869874,0.860690,0.003330,0.050000,0.962172,0.996236,0.999964,0.534729,0.804932
32,480,15162.00,15.1620,0.871434,0.871434,0.869888,0.860493,0.003373,0.050000,0.962172,0.996236,0.999964,0.534729,0.804932
33,495,15626.00,15.6260,0.871434,0.871434,0.870390,0.861208,0.002574,0.050000,0.962172,0.996236,0.999964,0.534729,0.804932
34,510,16096.00,16.0960,0.872271,0.872271,0.870631,0.867360,0.001395,0.050000,0.964610,0.996275,0.999967,0.537048,0.804932
35,525,16569.00,16.5690,0.872271,0.872271,0.871385,0.866484,0.001344,0.050000,0.964610,0.996275,0.999967,0.537048,0.804932
36,540,17042.00,17.0420,0.872278,0.872278,0.870777,0.859814,0.003483,0.050000,0.964521,0.996274,0.999956,0.537170,0.804932
