# base_algorithm,wood
# population_size,15
# initial_mutation_rate,0.15
# max_iterations,150
# output_size,256
# generations_completed,150
# total_evaluations,2250
# runtime_s,78.454
# final_best_fitness,0.900307
generation,cumulative_evaluations,elapsed_ms,elapsed_s,best_fitness,best_ever_fitness,mean_fitness,worst_fitness,std_fitness,mutation_rate,best_comp_mean,best_comp_variance,best_comp_gradient_dir,best_comp_edge_density,best_comp_histogram
1,15,486.00,0.4860,0.842723,0.842723,0.784491,0.733611,0.037831,0.150000,0.941246,0.996261,0.974718,0.526917,0.703751
2,30,1017.00,1.0170,0.865239,0.865239,0.824544,0.772765,0.027201,0.150000,0.948289,0.996015,0.996661,0.520111,0.804932
3,45,1538.00,1.5380,0.865936,0.865936,0.851394,0.815234,0.015752,0.150000,0.949811,0.995932,0.999632,0.517319,0.804932
4,60,2056.00,2.0560,0.865936,0.865936,0.859559,0.831240,0.010200,0.150000,0.949811,0.995932,0.999632,0.517319,0.804932
5,75,2581.00,2.5810,0.866205,0.866205,0.860264,0.833472,0.008248,0.150000,0.964827,0.996279,0.990179,0.523682,0.804932
6,90,3107.00,3.1070,0.866205,0.866205,0.862130,0.847981,0.005847,0.150000,0.964827,0.996279,0.990179,0.523682,0.804932
7,105,3624.00,3.6240,0.867563,0.867563,0.859838,0.824469,0.010908,0.150000,0.961076,0.996023,0.997754,0.520782,0.804184
8,120,4159.00,4.1590,0.869378,0.869378,0.863060,0.848233,0.006198,0.150000,0.963146,0.996258,0.999843,0.523911,0.804932
9,135,4682.00,4.6820,0.869378,0.869378,0.862636,0.842448,0.007907,0.150000,0.963146,0.996258,0.999843,0.523911,0.804932
10,150,5207.00,5.2070,0.869458,0.869458,0.865439,0.847223,0.005601,0.150000,0.963325,0.996250,0.999835,0.524200,0.804932
11,165,5732.00,5.7320,0.869458,0.869458,0.862102,0.848193,0.007455,0.150000,0.963325,0.996250,0.999835,0.524200,0.804932
12,180,6250.00,6.2500,0.869458,0.869458,0.860565,0.835933,0.009419,0.150000,0.963325,0.996250,0.999835,0.524200,0.804932
13,195,6797.00,6.7970,0.869458,0.869458,0.865375,0.852174,0.005578,0.150000,0.963325,0.996250,0.999835,0.524200,0.804932
14,210,7316.00,7.3160,0.869544,0.869544,0.865067,0.843248,0.007524,0.150000,0.963521,0.996251,0.999804,0.524536,0.804932
