# Recording: perlin
# Exported: 2026-06-01T22:46:28.300Z
# Duration: 60.0 s
# World Seed: 12345
# View Distance: 3
# Terrain Quality: 32 segments
# Texture Reuse Rate: 3
# Terrain Algorithm: none
# Terrain Shader Seed: N/A
# Camera Height: 50
# Camera Distance: 60
# Camera Azimuth: 0.0000 rad
# Camera Polar: 1.0472 rad
#
# --- Summary (avg / min / max) ---
# FPS: 116.9 / 102 / 120
# Render ms: 155.118 / 15.500 / 206.300
# TextureGen ms: 1.330 / 1.200 / 1.900
# ChunkGen ms: 0.050 / 0.000 / 0.100
# Total Textures Generated: 33
# Total Chunks Generated: 12
#
# Object Slots:
#   tree/0: algorithm=perlin seed=N/A
#   tree/1: algorithm=perlin seed=N/A
#   pine/0: algorithm=perlin seed=N/A
#   pine/1: algorithm=perlin seed=N/A
#   rock/0: algorithm=perlin seed=N/A
#   rock/1: algorithm=perlin seed=N/A
#   cactus/0: algorithm=perlin seed=N/A
#   cactus/1: algorithm=perlin seed=N/A
#   bush/0: algorithm=perlin seed=N/A
#   bush/1: algorithm=perlin seed=N/A
#
Sample,FPS,FPS_Timestamp_ms,TextureGen_ms,TextureGen_Timestamp_ms,ChunkGen_ms,ChunkGen_Timestamp_ms,Render_ms,Render_Timestamp_ms
0,120.0,12,1.400,216,0.000,216,190.400,216
1,113.0,514,1.200,1543,0.100,2887,180.600,1543
2,119.0,1018,1.300,4244,0.000,4244,184.800,2887
3,117.0,1543,1.300,6915,0.100,17641,15.500,4244
4,119.0,2546,1.300,9609,0.000,18971,179.200,5555
5,114.0,3046,1.300,12290,0.100,28375,198.500,6915
6,119.0,3546,1.200,13593,0.000,29700,196.300,8253
7,113.0,4560,1.300,14958,0.100,39061,205.400,9609
8,119.0,5066,1.300,16301,0.000,40416,21.800,10956
9,116.0,5574,1.400,17641,0.100,55134,22.400,12290
10,118.0,6073,1.300,18971,0.000,56482,169.100,13593
11,119.0,6573,1.400,21640,0.100,59161,23.000,14958
12,111.0,7074,1.300,22993,,,197.400,16301
13,119.0,7574,1.400,25686,,,196.100,17641
14,118.0,8253,1.300,27017,,,185.900,18971
15,117.0,8755,1.200,29700,,,33.600,20335
16,120.0,9254,1.300,31042,,,168.100,21640
17,112.0,9761,1.300,33721,,,21.700,22993
18,120.0,10262,1.900,35046,,,192.000,24345
19,119.0,10956,1.400,36396,,,193.400,25686
20,113.0,11269,1.400,37723,,,177.200,27017
21,119.0,11768,1.300,39061,,,195.400,28375
22,117.0,12290,1.300,40416,,,179.900,29700
23,119.0,13289,1.400,41748,,,189.200,31042
24,114.0,13789,1.300,43112,,,182.800,32370
25,120.0,14288,1.400,45771,,,194.500,33721
26,117.0,14958,1.200,47111,,,178.600,35046
27,119.0,15961,1.300,48436,,,195.900,36396
28,113.0,16463,1.300,49769,,,182.300,37723
29,119.0,16970,1.200,52451,,,173.400,39061
30,118.0,17641,1.300,53774,,,188.500,40416
31,117.0,18136,1.400,56482,,,178.800,41748
32,119.0,18636,1.300,59161,,,23.000,43112
33,113.0,19135,,,,,21.200,44411
34,119.0,19636,,,,,196.800,45771
35,112.0,20642,,,,,201.000,47111
36,119.0,21142,,,,,194.400,48436
37,116.0,21651,,,,,186.800,49769
38,118.0,22149,,,,,182.800,51111
39,119.0,22655,,,,,15.700,52451
40,112.0,23156,,,,,179.300,53774
41,120.0,23656,,,,,198.500,55134
42,108.0,24673,,,,,206.300,56482
43,119.0,25176,,,,,177.700,57794
44,117.0,25686,,,,,205.100,59161
45,119.0,26683,,,,,,
46,112.0,27184,,,,,,
47,120.0,27690,,,,,,
48,119.0,28192,,,,,,
49,113.0,28697,,,,,,
50,119.0,29198,,,,,,
51,116.0,29700,,,,,,
52,115.0,30205,,,,,,
53,119.0,30704,,,,,,
54,114.0,31204,,,,,,
55,119.0,31712,,,,,,
56,118.0,32370,,,,,,
57,119.0,33371,,,,,,
58,112.0,33870,,,,,,
59,119.0,34370,,,,,,
60,120.0,34870,,,,,,
61,113.0,35370,,,,,,
62,120.0,35871,,,,,,
63,117.0,36396,,,,,,
64,120.0,37398,,,,,,
65,114.0,37900,,,,,,
66,119.0,38404,,,,,,
67,118.0,39061,,,,,,
68,117.0,39558,,,,,,
69,120.0,40058,,,,,,
70,114.0,40564,,,,,,
71,120.0,41065,,,,,,
72,119.0,41564,,,,,,
73,112.0,42065,,,,,,
74,120.0,42564,,,,,,
75,117.0,43112,,,,,,
76,119.0,44120,,,,,,
77,113.0,44619,,,,,,
78,119.0,45119,,,,,,
79,118.0,45771,,,,,,
80,117.0,46273,,,,,,
81,119.0,46780,,,,,,
82,112.0,47279,,,,,,
83,119.0,47779,,,,,,
84,118.0,48436,,,,,,
85,116.0,48932,,,,,,
86,119.0,49432,,,,,,
87,102.0,49948,,,,,,
88,119.0,50446,,,,,,
89,118.0,51111,,,,,,
90,113.0,51615,,,,,,
91,119.0,52114,,,,,,
92,112.0,52615,,,,,,
93,119.0,53114,,,,,,
94,118.0,53774,,,,,,
95,117.0,54273,,,,,,
96,119.0,54778,,,,,,
97,113.0,55285,,,,,,
98,119.0,55786,,,,,,
99,120.0,56287,,,,,,
100,113.0,56792,,,,,,
101,120.0,57292,,,,,,
102,116.0,57803,,,,,,
103,118.0,58306,,,,,,
104,120.0,58813,,,,,,
105,113.0,59315,,,,,,
106,119.0,59819,,,,,,
