# Recording: worley
# Exported: 2026-06-01T22:54:34.758Z
# Duration: 60.0 s
# World Seed: 12345
# View Distance: 3
# Terrain Quality: 32 segments
# Texture Reuse Rate: 3
# Terrain Algorithm: none
# Terrain Shader Seed: N/A
# Camera Height: 50
# Camera Distance: 60
# Camera Azimuth: 0.0000 rad
# Camera Polar: 1.0472 rad
#
# --- Summary (avg / min / max) ---
# FPS: 113.4 / 10 / 120
# Render ms: 400.491 / 13.500 / 624.800
# TextureGen ms: 4.674 / 4.500 / 4.900
# ChunkGen ms: 0.050 / 0.000 / 0.100
# Total Textures Generated: 38
# Total Chunks Generated: 12
#
# Object Slots:
#   tree/0: algorithm=worley seed=N/A
#   tree/1: algorithm=worley seed=N/A
#   pine/0: algorithm=worley seed=N/A
#   pine/1: algorithm=worley seed=N/A
#   rock/0: algorithm=worley seed=N/A
#   rock/1: algorithm=worley seed=N/A
#   cactus/0: algorithm=worley seed=N/A
#   cactus/1: algorithm=worley seed=N/A
#   bush/0: algorithm=worley seed=N/A
#   bush/1: algorithm=worley seed=N/A
#
Sample,FPS,FPS_Timestamp_ms,TextureGen_ms,TextureGen_Timestamp_ms,ChunkGen_ms,ChunkGen_Timestamp_ms,Render_ms,Render_Timestamp_ms
0,10.0,34,4.800,647,0.000,34,343.700,647
1,38.0,647,4.500,1701,0.100,3060,326.600,1701
2,116.0,1148,4.800,3060,0.000,4541,342.900,3060
3,119.0,2203,4.700,4541,0.100,5887,20.400,4541
4,120.0,2703,4.800,5887,0.000,7320,14.400,5887
5,110.0,3203,4.800,7320,0.100,16635,592.200,7320
6,119.0,3703,4.700,8446,0.000,17999,14.100,8446
7,117.0,4541,4.600,11360,0.100,32619,600.900,9996
8,118.0,5037,4.800,12683,0.000,34000,624.800,11360
9,117.0,5887,4.600,15319,0.100,47362,614.600,12683
10,116.0,8446,4.800,17999,0.000,48676,13.800,13908
11,118.0,8947,4.500,19288,0.100,59391,577.100,15319
12,117.0,10495,4.700,20650,,,14.700,16635
13,116.0,12683,4.600,21901,,,590.000,17999
14,117.0,13182,4.800,23277,,,538.600,19288
15,115.0,13908,4.800,24625,,,568.400,20650
16,118.0,14404,4.700,25992,,,485.800,21901
17,117.0,15319,4.600,27278,,,14.300,23277
18,116.0,16635,4.800,29950,,,544.200,24625
19,117.0,17133,4.600,31317,,,578.300,25992
20,118.0,19785,4.700,32619,,,529.600,27278
21,117.0,20650,4.600,34000,,,545.500,28626
22,118.0,22397,4.500,35272,,,536.200,29950
23,117.0,23277,4.600,36673,,,570.000,31317
24,118.0,26493,4.800,37958,,,537.300,32619
25,116.0,27278,4.800,39258,,,585.600,34000
26,117.0,27779,4.600,40648,,,525.000,35272
27,118.0,30445,4.500,41942,,,586.100,36673
28,117.0,31317,4.600,43354,,,537.300,37958
29,118.0,34499,4.900,46019,,,504.400,39258
30,116.0,35272,4.600,47362,,,560.300,40648
31,118.0,35771,4.800,48676,,,521.500,41942
32,117.0,36673,4.700,49992,,,13.600,43354
33,118.0,40648,4.500,52667,,,503.900,44591
34,117.0,41942,4.600,53952,,,592.400,46019
35,118.0,42444,4.700,55373,,,601.500,47362
36,117.0,43354,4.600,56705,,,575.400,48676
37,116.0,43853,4.500,59391,,,14.500,49992
38,117.0,44591,,,,,551.000,51318
39,118.0,45090,,,,,21.100,52667
40,117.0,46019,,,,,13.600,53952
41,116.0,47362,,,,,13.900,55373
42,117.0,47860,,,,,13.500,56705
43,116.0,48676,,,,,537.700,57973
44,118.0,49173,,,,,611.400,59391
45,116.0,49992,,,,,,
46,117.0,51318,,,,,,
47,116.0,53952,,,,,,
48,117.0,54450,,,,,,
49,114.0,56705,,,,,,
50,117.0,57206,,,,,,
51,116.0,57973,,,,,,
52,117.0,58470,,,,,,
