# Recording: baseline
# Run: 8 of 10
# Exported: 2026-06-06T16:40:15.236Z
# Duration: 60.0 s
# World Seed: 12345
# View Distance: 3
# Terrain Quality: 32 segments
# Texture Reuse Rate: 3
# Terrain Algorithm: none
# Terrain Shader Seed: N/A
# Camera Height: 50
# Camera Distance: 60
# Camera Azimuth: 0.0000 rad
# Camera Polar: 1.0472 rad
#
# --- Summary (avg / min / max) ---
# FPS: 60.6 / 57 / 63
# Render ms: 80.118 / 30.100 / 134.000
# TextureGen ms: 0.000 / 0.000 / 0.000
# ChunkGen ms: 0.054 / 0.000 / 0.100
# Total Textures Generated: 0
# Total Chunks Generated: 24
#
# Object Slots:
#   tree/0: algorithm=none seed=N/A
#   tree/1: algorithm=none seed=N/A
#   pine/0: algorithm=none seed=N/A
#   pine/1: algorithm=none seed=N/A
#   rock/0: algorithm=none seed=N/A
#   rock/1: algorithm=none seed=N/A
#   cactus/0: algorithm=none seed=N/A
#   cactus/1: algorithm=none seed=N/A
#   bush/0: algorithm=none seed=N/A
#   bush/1: algorithm=none seed=N/A
#
Sample,FPS,FPS_Timestamp_ms,TextureGen_ms,TextureGen_Timestamp_ms,ChunkGen_ms,ChunkGen_Timestamp_ms,Render_ms,Render_Timestamp_ms
0,57.0,424,,,0.100,424,134.000,527
1,59.0,901,,,0.000,527,80.200,1440
2,61.0,1951,,,0.100,6758,72.000,2766
3,60.0,2452,,,0.000,8095,76.800,4105
4,61.0,2953,,,0.100,9428,80.900,5445
5,60.0,3452,,,0.000,10763,31.600,6758
6,62.0,4452,,,0.100,13430,79.200,8095
7,60.0,4953,,,0.000,14762,78.200,9428
8,58.0,5465,,,0.100,22771,78.800,10763
9,61.0,5971,,,0.000,24110,81.400,12103
10,60.0,6474,,,0.100,25441,77.200,13430
11,58.0,8474,,,0.100,26763,74.800,14762
12,60.0,8976,,,0.000,28093,77.200,16100
13,61.0,9483,,,0.100,32096,77.100,17433
14,60.0,10492,,,0.000,33431,77.800,18768
15,59.0,10994,,,0.100,34763,78.100,20103
16,60.0,11494,,,0.000,37432,84.800,21445
17,59.0,12495,,,0.100,44124,77.200,22771
18,60.0,12994,,,0.000,45455,81.700,24110
19,62.0,13495,,,0.100,46791,78.700,25441
20,60.0,13994,,,0.000,49397,83.000,26763
21,61.0,14995,,,0.100,52116,76.500,28093
22,60.0,15495,,,0.000,54799,82.700,29432
23,62.0,16497,,,0.100,58812,75.000,30759
24,61.0,16999,,,,,76.300,32096
25,63.0,17499,,,,,75.600,33431
26,62.0,17998,,,,,76.200,34763
27,63.0,19002,,,,,77.300,36099
28,61.0,19524,,,,,76.000,37432
29,62.0,20033,,,,,75.900,38768
30,63.0,20534,,,,,102.000,40127
31,61.0,21034,,,,,79.100,41455
32,60.0,21541,,,,,90.800,42807
33,61.0,22053,,,,,79.200,44124
34,60.0,22552,,,,,76.200,45455
35,62.0,23053,,,,,94.800,46813
36,58.0,24110,,,,,78.300,48127
37,61.0,24620,,,,,102.100,49470
38,60.0,25122,,,,,113.500,50814
39,62.0,25622,,,,,81.500,52116
40,60.0,26122,,,,,30.100,53445
41,59.0,27124,,,,,95.100,54799
42,60.0,27626,,,,,63.400,56164
43,59.0,28137,,,,,78.200,57468
44,63.0,28641,,,,,88.800,58812
45,60.0,29141,,,,,,
46,62.0,31142,,,,,,
47,60.0,31642,,,,,,
48,58.0,32147,,,,,,
49,63.0,32660,,,,,,
50,60.0,33161,,,,,,
51,59.0,33661,,,,,,
52,60.0,34161,,,,,,
53,62.0,35179,,,,,,
54,60.0,35680,,,,,,
55,62.0,36180,,,,,,
56,60.0,36680,,,,,,
57,63.0,37680,,,,,,
58,62.0,38681,,,,,,
59,63.0,39182,,,,,,
60,61.0,39683,,,,,,
61,59.0,40193,,,,,,
62,62.0,40700,,,,,,
63,61.0,41201,,,,,,
64,60.0,41701,,,,,,
65,61.0,42201,,,,,,
66,60.0,42701,,,,,,
67,58.0,43203,,,,,,
68,61.0,43704,,,,,,
69,63.0,44204,,,,,,
70,61.0,44703,,,,,,
71,62.0,45704,,,,,,
72,60.0,46206,,,,,,
73,61.0,46704,,,,,,
74,59.0,47206,,,,,,
75,61.0,47707,,,,,,
76,58.0,48221,,,,,,
77,62.0,48724,,,,,,
78,60.0,49224,,,,,,
79,59.0,52245,,,,,,
80,60.0,52744,,,,,,
81,62.0,53745,,,,,,
82,60.0,54245,,,,,,
83,58.0,54799,,,,,,
84,63.0,55297,,,,,,
85,60.0,55796,,,,,,
86,61.0,57297,,,,,,
87,63.0,57798,,,,,,
88,61.0,58812,,,,,,
89,63.0,59321,,,,,,
90,62.0,59821,,,,,,
