# Recording: 0-reuse
# Exported: 2026-06-01T17:14:50.103Z
# Duration: 60.0 s
# World Seed: 12345
# View Distance: 3
# Terrain Quality: 24 segments
# Texture Reuse Rate: 1
# Terrain Algorithm: none
# Terrain Shader Seed: N/A
# Camera Height: 50
# Camera Distance: 60
# Camera Azimuth: 0.0000 rad
# Camera Polar: 1.0472 rad
# Object Slots:
#   tree/0: algorithm=wood seed=N/A
#   tree/1: algorithm=none seed=N/A
#   pine/0: algorithm=wood seed=N/A
#   pine/1: algorithm=none seed=N/A
#   rock/0: algorithm=perlin seed=N/A
#   rock/1: algorithm=none seed=N/A
#   cactus/0: algorithm=none seed=N/A
#   cactus/1: algorithm=none seed=N/A
#   bush/0: algorithm=simplex seed=N/A
#   bush/1: algorithm=none seed=N/A
#
Sample,FPS,FPS_Timestamp_ms,TextureGen_ms,TextureGen_Timestamp_ms,ChunkGen_ms,ChunkGen_Timestamp_ms,Render_ms,Render_Timestamp_ms
0,60.0,51,29.000,1716,0.000,1716,16.900,1716
1,1.0,1716,29.500,2789,0.100,1764,843.900,3617
2,30.0,2789,30.000,3617,0.000,4064,48.400,5112
3,33.0,3617,29.400,5112,0.100,8102,848.800,6214
4,58.0,5112,2.300,6214,0.000,9469,61.900,7811
5,54.0,6214,28.100,7811,0.100,18861,50.900,9167
6,58.0,6710,29.500,9167,0.000,20178,84.400,10626
7,42.0,7811,28.300,10626,0.100,21512,67.800,11866
8,56.0,9167,29.100,11866,0.000,24216,1141.600,13231
9,52.0,10626,29.700,13231,0.100,33621,50.200,14475
10,50.0,11866,2.300,14475,0.000,34968,52.400,15793
11,54.0,13231,2.400,15793,0.100,37654,62.600,17086
12,48.0,14475,29.700,17086,0.000,38973,1253.000,18712
13,57.0,15793,28.900,18712,0.100,43009,61.500,19780
14,55.0,17086,30.900,19780,0.000,44345,49.300,21139
15,57.0,18712,4.200,21139,0.100,47017,49.500,22342
16,49.0,19780,2.300,22342,0.000,48366,906.600,23721
17,59.0,21139,30.000,23721,0.100,49685,67.200,25094
18,54.0,22342,3.800,25094,0.000,51020,1283.900,26804
19,60.0,22842,29.200,26804,0.100,53688,879.600,27757
20,41.0,23721,2.400,27757,0.000,55024,1020.500,29240
21,1.0,25094,29.700,29240,,,841.500,30394
22,56.0,26804,2.300,30394,,,937.000,31824
23,34.0,27757,2.400,31824,,,896.500,33136
24,60.0,28263,3.800,33136,,,1215.000,34804
25,1.0,29240,29.800,34804,,,52.700,35772
26,53.0,30394,30.200,35772,,,1090.700,37348
27,62.0,30897,29.300,37348,,,856.800,38472
28,39.0,31824,2.300,38472,,,845.100,39789
29,58.0,33136,2.600,39789,,,834.700,41113
30,57.0,34804,30.000,41113,,,1215.900,42832
31,43.0,35772,30.100,42832,,,940.600,43908
32,62.0,36268,30.400,43908,,,944.600,45242
33,38.0,37348,29.600,45242,,,68.000,46717
34,55.0,38472,3.700,46717,,,1060.800,48044
35,63.0,38973,29.700,48044,,,1010.200,49335
36,1.0,39789,28.700,49335,,,49.500,50818
37,60.0,40284,28.400,50818,,,50.300,51895
38,24.0,41113,28.900,51895,,,49.800,53388
39,61.0,41624,3.700,53388,,,825.500,54480
40,44.0,42832,3.800,54480,,,47.300,55961
41,48.0,43908,2.400,55961,,,941.800,57283
42,56.0,45242,30.200,57283,,,48.700,58713
43,58.0,46717,2.200,58713,,,50.500,59937
44,53.0,48044,29.200,59937,,,,
45,54.0,49335,,,,,,
46,47.0,51895,,,,,,
47,59.0,53388,,,,,,
48,53.0,54480,,,,,,
49,63.0,54981,,,,,,
50,39.0,55961,,,,,,
51,57.0,57283,,,,,,
52,59.0,58713,,,,,,
53,57.0,59937,,,,,,
