# Recording: baseline
# Exported: 2026-06-01T11:29:29.408Z
# Duration: 60.0 s
# World Seed: 12345
# View Distance: 3
# Terrain Quality: 32 segments
# Texture Reuse Rate: 3
# Terrain Algorithm: none
# Terrain Shader Seed: N/A
# Camera Height: 50
# Camera Distance: 60
# Camera Azimuth: 0.0000 rad
# Camera Polar: 1.0472 rad
# Object Slots:
#   tree/0: algorithm=none seed=N/A
#   tree/1: algorithm=none seed=N/A
#   pine/0: algorithm=none seed=N/A
#   pine/1: algorithm=none seed=N/A
#   rock/0: algorithm=none seed=N/A
#   rock/1: algorithm=none seed=N/A
#   cactus/0: algorithm=none seed=N/A
#   cactus/1: algorithm=none seed=N/A
#   bush/0: algorithm=none seed=N/A
#   bush/1: algorithm=none seed=N/A
#
Sample,FPS,FPS_Timestamp_ms,TextureGen_ms,TextureGen_Timestamp_ms,ChunkGen_ms,ChunkGen_Timestamp_ms,Render_ms,Render_Timestamp_ms
0,60.0,404,,,0.100,105,24.500,105
1,61.0,903,,,0.000,2760,85.400,1449
2,59.0,1449,,,0.100,5428,79.100,2760
3,62.0,1954,,,0.100,6767,28.100,4093
4,60.0,2454,,,0.000,8101,79.000,5428
5,63.0,2956,,,0.100,12066,82.900,6767
6,60.0,3456,,,0.000,13456,80.700,8101
7,59.0,4457,,,0.100,16121,79.300,9434
8,60.0,4973,,,0.000,17459,81.300,10769
9,62.0,5480,,,0.100,29450,121.000,12147
10,61.0,5991,,,0.000,30797,83.500,13456
11,60.0,6491,,,0.100,33451,97.100,14811
12,59.0,6993,,,0.000,34786,77.900,16121
13,60.0,7492,,,0.100,40077,83.800,17459
14,59.0,8494,,,0.000,41463,95.500,18810
15,60.0,8994,,,0.100,45445,82.700,20128
16,59.0,9494,,,0.000,46743,77.200,21456
17,60.0,9994,,,0.100,53452,81.700,22797
18,59.0,10995,,,0.000,56121,81.300,24130
19,60.0,11495,,,0.100,58790,89.900,25456
20,62.0,12514,,,,,94.200,26794
21,61.0,13013,,,,,76.200,28111
22,63.0,15031,,,,,80.800,29450
23,62.0,15532,,,,,93.800,30797
24,61.0,16033,,,,,76.100,32113
25,66.0,16554,,,,,79.100,33451
26,62.0,17050,,,,,80.300,34786
27,60.0,17552,,,,,76.700,36118
28,61.0,18053,,,,,75.700,37450
29,59.0,19054,,,,,76.300,38789
30,61.0,19553,,,,,112.400,40159
31,60.0,20053,,,,,83.500,41463
32,62.0,21554,,,,,26.800,42792
33,60.0,22053,,,,,80.300,44127
34,59.0,23055,,,,,110.000,46815
35,61.0,23555,,,,,83.500,48118
36,60.0,24056,,,,,82.000,49450
37,59.0,24558,,,,,101.800,50805
38,61.0,25058,,,,,84.200,52122
39,60.0,26058,,,,,79.300,53452
40,61.0,27058,,,,,81.700,54788
41,60.0,27558,,,,,80.300,56121
42,58.0,28111,,,,,94.300,57470
43,64.0,28611,,,,,78.200,58790
44,61.0,29109,,,,,,
45,59.0,29613,,,,,,
46,60.0,30127,,,,,,
47,62.0,31130,,,,,,
48,60.0,31628,,,,,,
49,58.0,32145,,,,,,
50,63.0,32648,,,,,,
51,60.0,33146,,,,,,
52,63.0,33647,,,,,,
53,61.0,34148,,,,,,
54,63.0,35148,,,,,,
55,60.0,36155,,,,,,
56,63.0,36667,,,,,,
57,62.0,37166,,,,,,
58,63.0,37668,,,,,,
59,61.0,38167,,,,,,
60,62.0,39168,,,,,,
61,61.0,39669,,,,,,
62,57.0,40178,,,,,,
63,62.0,40688,,,,,,
64,61.0,41186,,,,,,
65,60.0,42687,,,,,,
66,59.0,43188,,,,,,
67,60.0,43689,,,,,,
68,62.0,44192,,,,,,
69,60.0,44706,,,,,,
70,61.0,45206,,,,,,
71,59.0,45707,,,,,,
72,61.0,46207,,,,,,
73,60.0,46707,,,,,,
74,59.0,47214,,,,,,
75,60.0,47725,,,,,,
76,59.0,48230,,,,,,
77,61.0,48743,,,,,,
78,60.0,49244,,,,,,
79,59.0,49744,,,,,,
80,60.0,50247,,,,,,
81,58.0,50805,,,,,,
82,61.0,51315,,,,,,
83,60.0,51813,,,,,,
84,61.0,52813,,,,,,
85,63.0,53814,,,,,,
86,61.0,54314,,,,,,
87,59.0,54817,,,,,,
88,60.0,55321,,,,,,
89,63.0,55822,,,,,,
90,62.0,56334,,,,,,
91,63.0,56835,,,,,,
92,62.0,57333,,,,,,
93,63.0,57834,,,,,,
94,61.0,58333,,,,,,
95,59.0,58835,,,,,,
96,61.0,59335,,,,,,
97,60.0,59835,,,,,,
