# Recording: high-quality
# Exported: 2026-06-01T13:40:12.153Z
# Duration: 60.0 s
# World Seed: 12345
# View Distance: 5
# Terrain Quality: 64 segments
# Texture Reuse Rate: 1
# Terrain Algorithm: none
# Terrain Shader Seed: N/A
# Camera Height: 50
# Camera Distance: 60
# Camera Azimuth: 0.0000 rad
# Camera Polar: 1.0472 rad
# Object Slots:
#   tree/0: algorithm=none seed=N/A
#   tree/1: algorithm=none seed=N/A
#   pine/0: algorithm=none seed=N/A
#   pine/1: algorithm=none seed=N/A
#   rock/0: algorithm=none seed=N/A
#   rock/1: algorithm=none seed=N/A
#   cactus/0: algorithm=none seed=N/A
#   cactus/1: algorithm=none seed=N/A
#   bush/0: algorithm=none seed=N/A
#   bush/1: algorithm=none seed=N/A
#
Sample,FPS,FPS_Timestamp_ms,TextureGen_ms,TextureGen_Timestamp_ms,ChunkGen_ms,ChunkGen_Timestamp_ms,Render_ms,Render_Timestamp_ms
0,53.0,46,,,0.100,315,279.400,315
1,57.0,557,,,0.000,3002,274.200,1642
2,48.0,1073,,,0.100,17535,52.600,3002
3,50.0,1642,,,0.000,20473,49.300,4327
4,58.0,2139,,,0.100,33677,54.000,5661
5,54.0,2648,,,0.000,36381,316.900,7021
6,57.0,3161,,,0.100,42058,318.900,8394
7,54.0,3669,,,0.000,43458,59.600,9718
8,50.0,4327,,,0.100,54187,316.600,11049
9,57.0,4829,,,0.000,56652,323.000,12394
10,53.0,5343,,,0.100,59320,57.400,13738
11,54.0,6363,,,,,79.700,15097
12,49.0,7021,,,,,58.700,16428
13,56.0,7522,,,,,84.400,17823
14,54.0,8030,,,,,63.200,19141
15,49.0,8551,,,,,300.800,20473
16,59.0,9058,,,,,299.900,21824
17,50.0,9718,,,,,69.300,23188
18,55.0,10236,,,,,289.400,24503
19,54.0,10745,,,,,310.700,25884
20,55.0,11255,,,,,301.800,27244
21,48.0,12394,,,,,84.100,28591
22,58.0,12905,,,,,331.800,29950
23,53.0,13428,,,,,63.600,31278
24,48.0,13929,,,,,316.100,32609
25,57.0,14428,,,,,74.000,33948
26,50.0,15097,,,,,93.100,35311
27,58.0,15603,,,,,90.800,36656
28,55.0,16106,,,,,57.800,37978
29,50.0,16611,,,,,61.100,39350
30,55.0,17119,,,,,84.800,40730
31,50.0,17823,,,,,66.000,42058
32,56.0,18360,,,,,93.100,43458
33,50.0,19141,,,,,315.300,44763
34,55.0,19899,,,,,362.100,46173
35,47.0,20473,,,,,86.600,47502
36,55.0,20971,,,,,93.500,48852
37,50.0,21474,,,,,278.300,50133
38,49.0,21991,,,,,45.100,51498
39,53.0,22491,,,,,84.300,52870
40,45.0,23188,,,,,322.500,54187
41,56.0,23704,,,,,86.300,55562
42,51.0,24228,,,,,93.800,56943
43,53.0,24738,,,,,302.000,58223
44,52.0,25246,,,,,82.700,59676
45,47.0,25884,,,,,,
46,51.0,26398,,,,,,
47,50.0,26910,,,,,,
48,53.0,27939,,,,,,
49,48.0,28591,,,,,,
50,54.0,29109,,,,,,
51,51.0,29609,,,,,,
52,49.0,30125,,,,,,
53,54.0,30633,,,,,,
54,48.0,31278,,,,,,
55,58.0,31777,,,,,,
56,54.0,32285,,,,,,
57,55.0,32790,,,,,,
58,58.0,33303,,,,,,
59,50.0,33948,,,,,,
60,57.0,34453,,,,,,
61,55.0,34970,,,,,,
62,49.0,35474,,,,,,
63,59.0,35980,,,,,,
64,49.0,36656,,,,,,
65,60.0,37166,,,,,,
66,57.0,37676,,,,,,
67,51.0,38180,,,,,,
68,57.0,38678,,,,,,
69,52.0,39350,,,,,,
70,56.0,39853,,,,,,
71,52.0,40365,,,,,,
72,43.0,40870,,,,,,
73,45.0,41381,,,,,,
74,43.0,42058,,,,,,
75,52.0,42564,,,,,,
76,40.0,43588,,,,,,
77,50.0,44093,,,,,,
78,48.0,44763,,,,,,
79,49.0,45263,,,,,,
80,45.0,45776,,,,,,
81,38.0,46292,,,,,,
82,51.0,46805,,,,,,
83,46.0,47502,,,,,,
84,45.0,48009,,,,,,
85,49.0,48509,,,,,,
86,41.0,49023,,,,,,
87,49.0,49530,,,,,,
88,46.0,50133,,,,,,
89,50.0,50640,,,,,,
90,47.0,51158,,,,,,
91,45.0,52870,,,,,,
92,54.0,53385,,,,,,
93,49.0,53901,,,,,,
94,42.0,54417,,,,,,
95,50.0,54934,,,,,,
96,47.0,55562,,,,,,
97,54.0,56058,,,,,,
98,49.0,56573,,,,,,
99,44.0,57077,,,,,,
100,53.0,57593,,,,,,
101,47.0,58223,,,,,,
102,50.0,58735,,,,,,
103,53.0,59248,,,,,,
104,34.0,59754,,,,,,
