# Recording: low-quality
# Exported: 2026-06-01T13:30:36.149Z
# Duration: 60.0 s
# World Seed: 12345
# View Distance: 2
# Terrain Quality: 16 segments
# Texture Reuse Rate: 5
# Terrain Algorithm: none
# Terrain Shader Seed: N/A
# Camera Height: 50
# Camera Distance: 60
# Camera Azimuth: 0.0000 rad
# Camera Polar: 1.0472 rad
# Object Slots:
#   tree/0: algorithm=none seed=N/A
#   tree/1: algorithm=none seed=N/A
#   pine/0: algorithm=none seed=N/A
#   pine/1: algorithm=none seed=N/A
#   rock/0: algorithm=none seed=N/A
#   rock/1: algorithm=none seed=N/A
#   cactus/0: algorithm=none seed=N/A
#   cactus/1: algorithm=none seed=N/A
#   bush/0: algorithm=none seed=N/A
#   bush/1: algorithm=none seed=N/A
#
Sample,FPS,FPS_Timestamp_ms,TextureGen_ms,TextureGen_Timestamp_ms,ChunkGen_ms,ChunkGen_Timestamp_ms,Render_ms,Render_Timestamp_ms
0,62.0,217,,,0.000,66,58.000,87
1,60.0,717,,,0.100,13423,45.900,1392
2,63.0,1720,,,0.000,14753,42.000,2722
3,60.0,2219,,,0.100,17426,39.200,4054
4,59.0,2736,,,0.000,18760,46.400,5395
5,63.0,3236,,,0.100,24086,42.600,6725
6,60.0,3736,,,0.000,25410,44.400,8063
7,63.0,4237,,,0.100,26740,43.800,9395
8,60.0,4739,,,0.000,28077,58.300,10767
9,59.0,5739,,,0.100,34747,43.200,12080
10,60.0,6239,,,0.000,36084,51.900,13423
11,59.0,6739,,,0.100,38738,29.700,14753
12,63.0,7248,,,0.000,40088,46.700,16088
13,61.0,7741,,,0.100,41417,50.100,17426
14,63.0,8240,,,0.000,42761,46.700,18760
15,60.0,8740,,,0.100,45409,45.900,20090
16,63.0,9742,,,0.000,46760,45.200,21424
17,60.0,10241,,,0.100,54747,44.800,22760
18,59.0,10767,,,0.000,57425,40.000,24086
19,60.0,11260,,,,,65.500,25449
20,63.0,12279,,,,,28.300,26740
21,60.0,12779,,,,,43.600,28077
22,61.0,13779,,,,,39.500,29407
23,60.0,14279,,,,,28.400,30743
24,62.0,14791,,,,,63.700,32102
25,64.0,15296,,,,,39.700,33410
26,62.0,15797,,,,,28.300,34747
27,61.0,16297,,,,,43.200,36084
28,62.0,16800,,,,,44.800,37420
29,61.0,17798,,,,,57.600,38770
30,60.0,18802,,,,,44.500,40088
31,59.0,19300,,,,,40.000,41417
32,61.0,19800,,,,,46.200,42761
33,63.0,20302,,,,,49.300,44095
34,60.0,20802,,,,,43.900,45409
35,63.0,21802,,,,,61.600,46760
36,61.0,22302,,,,,69.900,48103
37,60.0,22805,,,,,44.900,49412
38,61.0,23303,,,,,62.200,50763
39,60.0,23803,,,,,45.200,52081
40,62.0,24304,,,,,44.200,53415
41,60.0,24807,,,,,82.400,54793
42,62.0,25306,,,,,49.200,56089
43,61.0,25807,,,,,50.400,57425
44,62.0,26806,,,,,61.000,58775
45,61.0,27308,,,,,,
46,62.0,28307,,,,,,
47,60.0,28807,,,,,,
48,62.0,29809,,,,,,
49,60.0,30308,,,,,,
50,62.0,30809,,,,,,
51,60.0,31309,,,,,,
52,61.0,32811,,,,,,
53,60.0,33311,,,,,,
54,62.0,33811,,,,,,
55,60.0,35317,,,,,,
56,62.0,35817,,,,,,
57,64.0,36320,,,,,,
58,62.0,37331,,,,,,
59,64.0,37830,,,,,,
60,62.0,38332,,,,,,
61,63.0,38833,,,,,,
62,61.0,39331,,,,,,
63,63.0,40334,,,,,,
64,60.0,40833,,,,,,
65,62.0,41834,,,,,,
66,61.0,42335,,,,,,
67,60.0,42841,,,,,,
68,61.0,43335,,,,,,
69,60.0,43836,,,,,,
70,61.0,45354,,,,,,
71,63.0,45854,,,,,,
72,60.0,46355,,,,,,
73,63.0,46856,,,,,,
74,60.0,47357,,,,,,
75,62.0,49874,,,,,,
76,60.0,50376,,,,,,
77,62.0,50876,,,,,,
78,60.0,51377,,,,,,
79,62.0,52376,,,,,,
80,60.0,52877,,,,,,
81,62.0,54880,,,,,,
82,60.0,55379,,,,,,
83,61.0,55895,,,,,,
84,63.0,56899,,,,,,
85,61.0,57425,,,,,,
86,63.0,57922,,,,,,
87,62.0,58932,,,,,,
88,61.0,59933,,,,,,
