# Recording: reproducibility-run
# Exported: 2026-06-01T14:20:39.687Z
# Duration: 60.0 s
# World Seed: 99999
# View Distance: 3
# Terrain Quality: 32 segments
# Texture Reuse Rate: 3
# Terrain Algorithm: none
# Terrain Shader Seed: N/A
# Camera Height: 50
# Camera Distance: 60
# Camera Azimuth: 0.0000 rad
# Camera Polar: 1.0472 rad
# Object Slots:
#   tree/0: algorithm=none seed=N/A
#   tree/1: algorithm=none seed=N/A
#   pine/0: algorithm=none seed=N/A
#   pine/1: algorithm=none seed=N/A
#   rock/0: algorithm=none seed=N/A
#   rock/1: algorithm=none seed=N/A
#   cactus/0: algorithm=none seed=N/A
#   cactus/1: algorithm=none seed=N/A
#   bush/0: algorithm=none seed=N/A
#   bush/1: algorithm=none seed=N/A
#
Sample,FPS,FPS_Timestamp_ms,TextureGen_ms,TextureGen_Timestamp_ms,ChunkGen_ms,ChunkGen_Timestamp_ms,Render_ms,Render_Timestamp_ms
0,56.0,389,,,0.100,94,81.000,182
1,62.0,895,,,0.200,1444,100.700,1523
2,59.0,1913,,,0.100,2779,85.400,2861
3,63.0,2414,,,0.000,4145,80.200,4222
4,55.0,2917,,,0.100,6840,97.900,5601
5,60.0,3435,,,0.000,8201,73.900,6921
6,62.0,3941,,,0.100,20406,82.900,8281
7,56.0,4456,,,0.000,21780,100.600,9660
8,65.0,4964,,,0.100,23108,74.800,10984
9,61.0,5472,,,0.000,24486,71.600,12357
10,63.0,6481,,,0.100,36675,72.600,13696
11,58.0,6983,,,0.000,38017,76.900,15046
12,62.0,7499,,,0.100,39374,70.300,16400
13,59.0,8509,,,0.000,40741,71.700,17768
14,61.0,9018,,,0.100,44829,77.100,19120
15,63.0,9517,,,0.000,48879,79.100,20482
16,55.0,10019,,,0.100,50208,94.800,21859
17,63.0,10541,,,0.200,51580,74.600,23184
18,59.0,11071,,,0.000,52916,81.200,24574
19,63.0,11576,,,0.100,58352,83.000,25921
20,64.0,12085,,,0.000,59704,73.700,27255
21,58.0,12588,,,,,76.800,28625
22,63.0,13091,,,,,73.400,29975
23,59.0,14088,,,,,72.500,31315
24,64.0,14588,,,,,75.000,32682
25,57.0,15101,,,,,95.400,34072
26,62.0,15610,,,,,71.000,35393
27,63.0,16129,,,,,75.300,36747
28,61.0,16643,,,,,75.400,38093
29,62.0,17146,,,,,73.200,39451
30,59.0,18148,,,,,79.500,40812
31,64.0,18658,,,,,96.400,42187
32,55.0,19172,,,,,93.600,43553
33,62.0,19675,,,,,98.000,44905
34,63.0,20177,,,,,89.700,46270
35,58.0,20683,,,,,76.800,47583
36,61.0,21184,,,,,94.400,48956
37,64.0,21696,,,,,72.000,50284
38,56.0,22196,,,,,93.500,51660
39,63.0,22712,,,,,77.800,52988
40,58.0,23236,,,,,74.200,54362
41,60.0,23738,,,,,72.100,55707
42,64.0,24249,,,,,69.800,57059
43,55.0,24758,,,,,77.500,58432
44,58.0,25773,,,,,76.000,59784
45,63.0,26786,,,,,,
46,58.0,27306,,,,,,
47,59.0,27820,,,,,,
48,63.0,28318,,,,,,
49,59.0,28840,,,,,,
50,63.0,29352,,,,,,
51,62.0,29852,,,,,,
52,59.0,30370,,,,,,
53,64.0,30887,,,,,,
54,59.0,31400,,,,,,
55,62.0,31902,,,,,,
56,57.0,32902,,,,,,
57,62.0,33405,,,,,,
58,63.0,33907,,,,,,
59,56.0,34409,,,,,,
60,63.0,34922,,,,,,
61,58.0,35442,,,,,,
62,62.0,35945,,,,,,
63,64.0,36448,,,,,,
64,59.0,36950,,,,,,
65,62.0,37468,,,,,,
66,65.0,37973,,,,,,
67,59.0,38477,,,,,,
68,63.0,38974,,,,,,
69,55.0,39502,,,,,,
70,64.0,40011,,,,,,
71,62.0,40532,,,,,,
72,56.0,41053,,,,,,
73,65.0,41562,,,,,,
74,62.0,42067,,,,,,
75,57.0,42577,,,,,,
76,62.0,43078,,,,,,
77,59.0,43605,,,,,,
78,62.0,44113,,,,,,
79,61.0,44623,,,,,,
80,55.0,45136,,,,,,
81,63.0,45636,,,,,,
82,60.0,46666,,,,,,
83,63.0,47163,,,,,,
84,57.0,47677,,,,,,
85,62.0,48190,,,,,,
86,58.0,49202,,,,,,
87,63.0,49700,,,,,,
88,62.0,50208,,,,,,
89,58.0,50717,,,,,,
90,61.0,51221,,,,,,
91,59.0,51726,,,,,,
92,62.0,52242,,,,,,
93,64.0,52754,,,,,,
94,60.0,53258,,,,,,
95,62.0,53772,,,,,,
96,60.0,54790,,,,,,
97,62.0,55305,,,,,,
98,60.0,55812,,,,,,
99,62.0,56331,,,,,,
100,64.0,56832,,,,,,
101,59.0,57340,,,,,,
102,63.0,57846,,,,,,
103,62.0,58352,,,,,,
104,61.0,58859,,,,,,
105,60.0,59360,,,,,,
106,57.0,59860,,,,,,
