# Recording: vd-5
# Exported: 2026-06-01T17:03:33.593Z
# Duration: 60.0 s
# World Seed: 12345
# View Distance: 5
# Terrain Quality: 32 segments
# Texture Reuse Rate: 3
# Terrain Algorithm: none
# Terrain Shader Seed: N/A
# Camera Height: 50
# Camera Distance: 60
# Camera Azimuth: 0.0000 rad
# Camera Polar: 1.0472 rad
# Object Slots:
#   tree/0: algorithm=none seed=N/A
#   tree/1: algorithm=none seed=N/A
#   pine/0: algorithm=none seed=N/A
#   pine/1: algorithm=none seed=N/A
#   rock/0: algorithm=none seed=N/A
#   rock/1: algorithm=none seed=N/A
#   cactus/0: algorithm=none seed=N/A
#   cactus/1: algorithm=none seed=N/A
#   bush/0: algorithm=none seed=N/A
#   bush/1: algorithm=none seed=N/A
#
Sample,FPS,FPS_Timestamp_ms,TextureGen_ms,TextureGen_Timestamp_ms,ChunkGen_ms,ChunkGen_Timestamp_ms,Render_ms,Render_Timestamp_ms
0,59.0,142,,,0.000,142,98.500,142
1,63.0,655,,,0.100,2820,49.400,1496
2,61.0,1155,,,0.000,4154,104.900,2820
3,60.0,1659,,,0.100,5498,107.000,4154
4,61.0,2171,,,0.000,6854,54.400,5498
5,60.0,2671,,,0.100,16354,52.600,6854
6,62.0,3172,,,0.000,17644,73.700,8233
7,61.0,3672,,,0.100,19069,56.800,9563
8,58.0,4174,,,0.000,20390,107.000,10993
9,61.0,4674,,,0.100,23174,59.600,12300
10,58.0,5678,,,0.000,24510,84.100,13676
11,60.0,6186,,,0.100,29940,62.000,15009
12,59.0,6698,,,0.000,31215,62.200,16354
13,57.0,7194,,,0.100,36638,84.000,17736
14,62.0,7695,,,0.100,38060,61.900,19069
15,58.0,8257,,,0.000,39375,111.200,20481
16,60.0,8771,,,0.100,42156,87.900,21824
17,62.0,9278,,,0.000,43430,88.200,23174
18,51.0,9789,,,,,68.300,24510
19,62.0,10300,,,,,63.400,25864
20,61.0,10802,,,,,60.000,27209
21,52.0,11306,,,,,59.200,28568
22,58.0,11820,,,,,80.800,29940
23,54.0,12327,,,,,79.800,31305
24,51.0,12834,,,,,82.900,32661
25,58.0,13341,,,,,64.200,33995
26,55.0,13844,,,,,60.900,35348
27,52.0,14863,,,,,79.400,36733
28,53.0,15379,,,,,57.900,38060
29,57.0,15885,,,,,102.600,39470
30,53.0,16408,,,,,62.800,40773
31,48.0,16910,,,,,89.700,42156
32,55.0,17430,,,,,83.900,43525
33,51.0,17932,,,,,59.800,44845
34,55.0,18451,,,,,61.100,46194
35,54.0,18954,,,,,87.000,47585
36,42.0,19456,,,,,62.300,48911
37,56.0,19968,,,,,63.500,50259
38,52.0,20510,,,,,86.500,51655
39,57.0,21009,,,,,60.000,52978
40,56.0,21536,,,,,59.400,54342
41,48.0,22036,,,,,81.600,55701
42,57.0,22537,,,,,58.800,57039
43,55.0,23061,,,,,58.200,58405
44,47.0,23575,,,,,61.500,59773
45,54.0,24088,,,,,,
46,51.0,24596,,,,,,
47,56.0,25105,,,,,,
48,52.0,25608,,,,,,
49,56.0,26637,,,,,,
50,55.0,27664,,,,,,
51,51.0,28174,,,,,,
52,56.0,29191,,,,,,
53,58.0,29703,,,,,,
54,51.0,30203,,,,,,
55,59.0,30709,,,,,,
56,60.0,31716,,,,,,
57,61.0,32217,,,,,,
58,49.0,32725,,,,,,
59,61.0,33244,,,,,,
60,57.0,33746,,,,,,
61,52.0,34250,,,,,,
62,58.0,34764,,,,,,
63,55.0,35783,,,,,,
64,57.0,36297,,,,,,
65,54.0,36799,,,,,,
66,59.0,37299,,,,,,
67,60.0,37809,,,,,,
68,53.0,38313,,,,,,
69,60.0,38827,,,,,,
70,61.0,39331,,,,,,
71,49.0,39835,,,,,,
72,51.0,40340,,,,,,
73,50.0,40849,,,,,,
74,49.0,41350,,,,,,
75,55.0,41847,,,,,,
76,48.0,42357,,,,,,
77,55.0,42856,,,,,,
78,57.0,43361,,,,,,
79,46.0,43879,,,,,,
80,53.0,44378,,,,,,
81,54.0,44900,,,,,,
82,53.0,45439,,,,,,
83,50.0,45922,,,,,,
84,48.0,46436,,,,,,
85,54.0,46943,,,,,,
86,55.0,47447,,,,,,
87,48.0,47950,,,,,,
88,53.0,48452,,,,,,
89,52.0,48965,,,,,,
90,53.0,49466,,,,,,
91,56.0,49977,,,,,,
92,50.0,50480,,,,,,
93,52.0,50990,,,,,,
94,55.0,51489,,,,,,
95,51.0,51994,,,,,,
96,58.0,52501,,,,,,
97,55.0,53029,,,,,,
98,58.0,53542,,,,,,
99,54.0,54569,,,,,,
100,51.0,56097,,,,,,
101,59.0,56599,,,,,,
102,56.0,57105,,,,,,
103,59.0,57626,,,,,,
104,57.0,58125,,,,,,
105,56.0,58625,,,,,,
106,59.0,59129,,,,,,
